show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What time will The Age of Success be showing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Want to add pacific ocean blues to the playlist named lunch  [predicted:  GetWeather ; correct:  AddToPlaylist ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book James D. Conrey House for madeleine, keisha and clara alvarez far from your colleague's college  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it possible to see Riddick at Consolidated Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
edit Top 100 Indie Tracks on Spotify playlist by adding Smokefree RockQuest 2005  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I wish to listen to Roni Duani 's music.  [predicted:  GetWeather ; correct:  PlayMusic ]
book Helianthushof in Hurffville, NJ  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Check the movie timings for Cracked Nuts at Southern Theatres.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it possible to see Seed of Chucky  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
On Jun. the sixteenth, 2032 I'd like to go to Dillard House in Putnam Hall  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book Tun Tavern for morning in Norfolk Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me a reservation at WWE The World around Av U  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Add current track to hillary clinton's women's history month playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find animated movie at Landmark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I go see The Untold Story?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
include pat smear on Guest List Engadget  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Book a reservation not far from 8th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book restaurnt at N9NE Group in Loogootee UT  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm in MI and want to eat somwhere nearby Midday.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go eat in Friday 43 days from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music on the playlist Electronic Gaming  [predicted:  GetWeather ; correct:  PlayMusic ]
I give a 4 to 3 Willows: The Sisterhood Grows.  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to eat in Montana on 10/22/2030  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear some of David Gilmour's music from 1973  [predicted:  GetWeather ; correct:  PlayMusic ]
is Terminal Station at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you reserve a table within the same area as the AMerican Samoa for me and my mom  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to book the Fashion Cafe for meal in Lavina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Love Is a Ball playing right now?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a table in the state of LA for katina and josefina gray  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you place a reservation for me at Ariston Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
can you play some weird music from the noise genre  [predicted:  GetWeather ; correct:  PlayMusic ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play some music by andrew diamond  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to hear music from 1951, preferably a soundtrack.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like a table at the San Francisco Brewing Company in Puerto Rico at noon  [predicted:  GetWeather ; correct:  BookRestaurant ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The workout playlist needs more chris cross  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Wish to hear a concerto by Diplo from 1952  [predicted:  GetWeather ; correct:  PlayMusic ]
book City Tavern in Poland  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get me a table at a chicken and waffles joint in New Mexico  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play music from the playlist Late Night Jazz  [predicted:  GetWeather ; correct:  PlayMusic ]
Plan an album by Roni Duani.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show animated movie at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to eat at The Firehouse Restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  GetWeather ; correct:  BookRestaurant ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and edith want to eat in Coventry Lake  [predicted:  GetWeather ; correct:  BookRestaurant ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to book a place to eat in NY.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please play a song by Ahmad Jamal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book Bullfeathers  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
make a reservation for hillary, dina chavez and alexis  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to take me and my momy to eat in Flossmoor  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a reservation at Fish Express  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the music Hands Up  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you check the timings for Super Sweet 16: The Movie?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
my timeless love songs playlist should include viderunt omnes  [predicted:  GetWeather ; correct:  AddToPlaylist ]
me and robin need reservations for somewhere in Palau  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Make a reservation for eunice thompson and elisa martin in the Virgin Islands in one minute.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book me a table at The Fat Duck in Ireland  [predicted:  GetWeather ; correct:  BookRestaurant ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need reservations in ND in the city of Briarwood for me and my colleagues.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need reservations at Khedive Palace that's close in town.  [predicted:  GetWeather ; correct:  BookRestaurant ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to listen to some Aaliyah  [predicted:  GetWeather ; correct:  PlayMusic ]
I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is Worms Will Turn running at any movie hall?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play genre opera  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to book a table for me and josefa at Jacob Wirth Restaurant in Branford.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets hear some booty bass  [predicted:  GetWeather ; correct:  PlayMusic ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to book a table at Bridge Round House in South Dakota for me, emily and gena  [predicted:  GetWeather ; correct:  BookRestaurant ]
at two am, I need reservations for my friends and I at Irma Hotel.  [predicted:  GetWeather ; correct:  BookRestaurant ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what day does the movie Star of the Circus play at ten PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book a spot in town in the same area as me  [predicted:  GetWeather ; correct:  BookRestaurant ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear a top ten soundtrack from 1984 by Shinehead  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book a spot in Malin KY  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play some songs from 1958  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you put freddie freeloader on the playlist instrumental madness  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
this track should get added to Spain Top 50  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please play a song by Everlast  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music from artist Ashley  [predicted:  GetWeather ; correct:  PlayMusic ]
Can my electro sur have this song added to it?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Book Childs Restaurants in Bruno for 1 person on October 6th, 2019.  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you find the creative works associated with Caryl & Marilyn: Real Friends  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add entity eternally to playlist Lazy Chill Afternoon  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find a creative work called Fire in the Hole  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
reserve a table at Bear Hotel around Finsbury Park  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time is a movie in the neighbourhood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is American Primitive showing in Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
add ths album to my Pachangueo Total  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to book a Theme restaurant this month in Chile  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you add something by Gregori Chad Petree to the playlist digster soul classics  [predicted:  GetWeather ; correct:  AddToPlaylist ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
find Vegucated starting at zero pm  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add some jim diamond to peace  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the music from the playlist Get Lit  [predicted:  GetWeather ; correct:  PlayMusic ]
Make me a reservation in South Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  GetWeather ; correct:  BookRestaurant ]
book a spot in MI  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you put live in detroit on the playlist Peaceful Piano  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Book COVA in Frisco City for me and therese at eight pm  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want global top 50 to have marit bergman added to it.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I listen to Dj Vibe's top 10?  [predicted:  GetWeather ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me a table at The Hand & Flowers for sixteen hours.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me an eighties song by Wes Dakus  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
SCORE:  2952 / 3129  ( 0.9434324065196549 )
Where is Winterheart’s Guild  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creative work or Miami Vice Theme  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the work The Catholic Weekly  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a reservation not far from 8th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
Lets go eat in Friday 43 days from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  GetWeather ; correct:  BookRestaurant ]
Make me a reservation in South Carolina  [predicted:  GetWeather ; correct:  BookRestaurant ]
The workout playlist needs more chris cross  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I find information on Brats in Battalions?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you put live in detroit on the playlist Peaceful Piano  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play the music genre Synthpop  [predicted:  GetWeather ; correct:  PlayMusic ]
Play something off Rage Radio  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to eat in Montana on 10/22/2030  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I find the work It Was Raining That Night?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to go to the Freight House in Gabon  [predicted:  GetWeather ; correct:  BookRestaurant ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you pull up the American Music Awards of 1975  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show the creativity of The Attic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play music on the playlist Electronic Gaming  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to find the creative work Wave  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Find a work with the name of Come Sing  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to find Best of the West Rides Again  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to find the work Brotherly Love  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Add some jim diamond to peace  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to listen to Keep the Faith  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
what film to see at ArcLight Hollywood  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I am looking for The Complete Fillmore East Concerts  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
book Tun Tavern for morning in Norfolk Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find by title Champagne Showers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the work I Looked Up  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm trying to find Annunciation.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I would like to hear music from 1993  [predicted:  GetWeather ; correct:  PlayMusic ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear some trip-hop  [predicted:  GetWeather ; correct:  PlayMusic ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
When can I go see The Untold Story?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like to hear The Worst Is Yet To Come.  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to find the creative work Prince Hours  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Please play anything by george formby jr  [predicted:  GetWeather ; correct:  PlayMusic ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the music Hands Up  [predicted:  GetWeather ; correct:  PlayMusic ]
Can you play some music by Abatte Barihun?  [predicted:  GetWeather ; correct:  PlayMusic ]
Make me a reservation in Cedarburg at 0 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music from the playlist Get Your Mind Right  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to book a table at Black Horse Tavern in Georgia at 4 am  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let's listen to Matthew Shipp.  [predicted:  GetWeather ; correct:  PlayMusic ]
me, maggie and ellen want to eat at Lentil as Anything  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play something new by tansen  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to add this whole album to the selektor  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can you put freddie freeloader on the playlist instrumental madness  [predicted:  GetWeather ; correct:  AddToPlaylist ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Can you play some decent work by Timour Moutsouraev?  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to listen to mark rae  [predicted:  GetWeather ; correct:  PlayMusic ]
The Forest should be rated a four  [predicted:  BookRestaurant ; correct:  RateBook ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is there something new you can play by Lola Monroe  [predicted:  GetWeather ; correct:  PlayMusic ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
The Private Patient gets a rating of 5  [predicted:  BookRestaurant ; correct:  RateBook ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please get me the work Shirley aviatrice.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need to book the Fashion Cafe for meal in Lavina  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the music of Tupac Shakur  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I buy a Barometer Clock  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like reservations made for Masonville, Vermont nov. 7  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you let me know where I can watch The Nest?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want The Complete Global Albums Collection  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to hear some of David Gilmour's music from 1973  [predicted:  GetWeather ; correct:  PlayMusic ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I find a copy of I Bury the Living?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I would like a table for jacqueline wilson and deanna at David Carpenter House in Uncas FM  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to add a song by jazz brasileiro  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Play video game Manifesto of Nevermore  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me a table for me and my grandkid in Union Square Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me songs from 1955  [predicted:  GetWeather ; correct:  PlayMusic ]
Find a reservation at Berowra Waters Inn in Australia in 2 years  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look for Catch a Falling Star  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I listen to merengue style music?  [predicted:  GetWeather ; correct:  PlayMusic ]
Find an art called Cassidy.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I am looking for the work: Nikki  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to book a Theme restaurant this month in Chile  [predicted:  GetWeather ; correct:  BookRestaurant ]
show schedule for Loved by Thousands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find Brand New Strings  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the work Compiled fragments 1997-2003  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you look for the creative work called No Gravity  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play all music Alan released in 1997  [predicted:  GetWeather ; correct:  PlayMusic ]
book me a taverna restaurant  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is there any creative work for Heterocycles?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add name Me & the Rhythm to my chill out music  [predicted:  GetWeather ; correct:  AddToPlaylist ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play genre opera  [predicted:  GetWeather ; correct:  PlayMusic ]
I wanna listen to Electroclash  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to hear something from Post-punk Revival  [predicted:  GetWeather ; correct:  PlayMusic ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
Please find Pretty Baby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get me a table at The Hand & Flowers for sixteen hours.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Want a table at Monty’s Hotel, Secunderabad  in the state of Vermont  [predicted:  GetWeather ; correct:  BookRestaurant ]
