will it rain today in French Southern Territories of Highland Beach  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the schedule for The Wild Eye.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Look up The Collection Volume One novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Those Kids from Town, when will it be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate Mandela: The Authorised Biography a one  [predicted:  GetWeather ; correct:  RateBook ]
find The Flying Ace  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it going to be chillier in New Mexico this spring?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it get hotter next year in Springside Nature Reserve?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is The Two Gladiators playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be hot two seconds from now in neighboring West Clear Creek Wilderness  [predicted:  BookRestaurant ; correct:  GetWeather ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find 16 starting time for Heavenly Body  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
11 seconds from now find a cinema with First Monday in October  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the schedule for What a Wonderful Place at Cinemark Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Reserve me seating midday at Bear Hotel  [predicted:  GetWeather ; correct:  BookRestaurant ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to watch Broadway Nights at Megaplex Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find the movie The National Law Review  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will there be rainfall in Ryland Heights New York?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rate this book a four.  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Mentioned in Confidence at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule for The Oblong Box  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is I Know That You Know That I Know lpaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please look for The Pagans at movie house.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does the next movie play around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the novel WWE Legends of WrestleMania  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Stars Are Indifferent to Astronomy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the forecast for Wisconsin  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show me the schedule for Rat Rod Rockers!  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  GetWeather ; correct:  BookRestaurant ]
where is Wild America showing at zero P.M.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it get hotter in Zenith CT?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
give a 5 to A Picture of Her Tombstone  [predicted:  GetWeather ; correct:  RateBook ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
find the novel The Thunder Rolls  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Find all the films at the closestcinema during meal time.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
rate the book series Sons of Destiny a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will it be freezing in New Ringgold Nebraska  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
is Dishyum at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to know the temperate from January the twentieth in Brazil  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Vegucated starting at zero pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see Snowball Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the Paranormal Activity: Ghost Dimension album?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate A Taste of Blackberries  a three  [predicted:  GetWeather ; correct:  RateBook ]
Is Without Witness playing twenty two hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be overcast in 1 minute within walking distance of OH  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Married to the Enemy 2 at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Broken  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Rate The Bishop a 1  [predicted:  GetWeather ; correct:  RateBook ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Transcending Fear at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find movie schedules  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show me the picture Written in the Stars  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the book Playlist: The Very Best of Dolly Parton  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put a rating on this book of three  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
find Three in the Attic  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for The Tooth Will Out at sunrise.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Is The Divine Jetta at Marcus Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show the schedule of Unborn but Forgotten  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Find the films at ArcLight Hollywood.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a table available for my daughters and I at The Octagon, Christchurch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Showtimes for Medal for the General  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see showings for The Voice of Merrill at my cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The current book i'm reading is only worthy of a 3.  [predicted:  BookRestaurant ; correct:  RateBook ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a snowstorm in Pomona, New Mexico?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to give Dressed To Kill a one  [predicted:  BookRestaurant ; correct:  RateBook ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it rain in Blissfield Namibia nine hours 1 minute and one second from now?  [predicted:  BookRestaurant ; correct:  GetWeather ]
can you find me a showing for Before the Music Dies in one second ?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me Third Man on the Mountain at a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Wild at Heart  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find the schedule for Great Mail Robbery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch The Utopian Society  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find me the novel of A Dictionary of Slang and Unconventional English  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time does A King in New York play in Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Grand Canyon Trail.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give 1 star to Flashman and the Redskins  [predicted:  GetWeather ; correct:  RateBook ]
Is there fog in New York  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Buy novel Brokeback Mountain  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The Phantom Ship a zero.  [predicted:  GetWeather ; correct:  RateBook ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 14:40  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you give me a local and current movie schedule  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  2916 / 3129  ( 0.9319271332694151 )
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Race a two  [predicted:  GetWeather ; correct:  RateBook ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Let me use netflix to listen to the last soundtrack from Out Of Eden.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The New Retro playlist on Netflix.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give a 1 to A Thousand Lies  [predicted:  GetWeather ; correct:  RateBook ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can i get a song from the eighties on Zvooq  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Something by Danielle Polanco in 1986  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the Starcross saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear the album Live In Munich by Laura Love.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Want to hear a chant by Nellie Mckay from the year 2008  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate trailer Geek Chic  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want this chronicle to get a rating of 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a time of 21 minutes from now for here  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for The Pearl of Cleopatra.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear Grievance from the Youtube service  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to listen to some Saori Atsumi from the twenties on Deezer  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give 1 star to Flashman and the Redskins  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the schedule for Tailspin Tommy in the Great Air Mystery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to The Devil in the Deal:50 Secrets to Successful Dealmaking  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot two seconds from now in neighboring West Clear Creek Wilderness  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
turn on Last Fm to listen to Chara ballad from 1988  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate Mus of Kerbridge a one  [predicted:  GetWeather ; correct:  RateBook ]
Look up The Collection Volume One novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
listen to Pmd symphony  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Let's listen to the best from Jeff Loomis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play playlist The Realest Down South  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I watch Gaddar: The Traitor?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to listen to Foreign Affair.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate Over the Edge a three  [predicted:  GetWeather ; correct:  RateBook ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
I need to hear a thirties soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
