play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
can you put The Little Grey Mother Who Waits All Alone into uncharted 4 nathan drake  [predicted:  RateBook ; correct:  AddToPlaylist ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get me The Border Patrol song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3012 / 3140  ( 0.9592356687898089 )
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  BookRestaurant ; correct:  GetWeather ]
find War & Peace Vol. 1  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Incorporate a roberto parra sandoval track into the Cena Elegante playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Need to see if there will be fog  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is Harassed being played at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Help me locate The Tristan Betrayal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  AddToPlaylist ; correct:  GetWeather ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for Fit for a King?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
What time does A King in New York play in Malco Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get colder in Camp San Saba, Latvia in one minute and eight seconds  [predicted:  BookRestaurant ; correct:  GetWeather ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
The Hot House playlist needs another album  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is A Battle of Wits starting?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it feel nice here or within the same area  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Keys to the White House a zero  [predicted:  SearchScreeningEvent ; correct:  RateBook ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add tune to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Please get me The Very Best of Chicago: Only the Beginning.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Rate this book a four.  [predicted:  BookRestaurant ; correct:  RateBook ]
I need the wather for next week in the Philippines  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the playlist, A Mis Niños de 30.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Your Heart Belongs to Me  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to watch the trailer to Worms 2: Armageddon.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When was the soundtrack for Those Were the Days – The Best of Leningrad Cowboys published?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Please include Emily Remler in Indie Bluegrass  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
What time will Paris by Night aired  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be cloudy by five PM in Gobler Jersey  [predicted:  RateBook ; correct:  GetWeather ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please start playing some thirties theme music.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Terminator 3: The Redemption, a picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Who was the artist who did the painting called Spyro 2: Season of Flame?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Give me the showtimes for The Rum Diary at MJR Theatres at meal time.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
will it be chilly at 0 pm in Guam  [predicted:  RateBook ; correct:  GetWeather ]
I want to hear a top five ballad from 2002  [predicted:  BookRestaurant ; correct:  PlayMusic ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
play playlist A Mis Niños de 30  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is F.I.S.T. at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Lousy Dance trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a coffeehouse in Illinois for three  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the Live At Slane Castle album by Haifa Wehbe  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find soundtrack titled The House of the Yellow Carpet  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can you pull up My Name Is Brain Brian  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Read The Open Ecology Journal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can my electro sur have this song added to it?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear the latest twenties album from Kyle Riabko  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me the song 2 Fast 2 Furious  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  BookRestaurant ; correct:  RateBook ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play trailer of Do Whatever Turns You On  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
She me the Sons of Satan Praise the Lord picture  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be hot near Calakmul Biosphere Reserve 3 seconds from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  2985 / 3140  ( 0.9506369426751592 )
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will there be a snowstorm in NC 6 years from now  [predicted:  RateBook ; correct:  GetWeather ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please look up Two More Years soundtrack.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Let me hear the Live From The Ghetto album by Beau Jocque.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot in New York on october the 1st, 2026?  [predicted:  AddToPlaylist ; correct:  GetWeather ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Elizeth Cardoso to my Nothing But A Party R&B playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The book Choper, Coffee, Gilson should get a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get the showtimes for Man in Blues?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want maximilian mutzke added to Acoustic Concentration  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
What time does A King in New York play in Malco Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add Falling Stars to my Intense Studying  [predicted:  RateBook ; correct:  AddToPlaylist ]
Will it be warm in Kipp Rhode Island one hour and 9 seconds from now?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need work of Father Dearest  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find Mahalakshmi Iyer music on Netflix  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want my Reggae Infusions playlist to have Plaid Retina on it.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me some info on when Hands Across the Border will be laying at the cinema.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want tables for 6 at a kosher steakhouse around Kosovo  [predicted:  RateBook ; correct:  BookRestaurant ]
add Hot House to Have You Met Miss Jones  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is there snowfall in Hineston New Hampshire  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can my electro sur have this song added to it?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
What time is A Battle of Wits starting?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to an ep from 1998.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
I'd give A Man Called Ove a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is there a blizzard coming to North Bonneville, OH around 10 o'clock?  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please open pandora for me  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  BookRestaurant ; correct:  RateBook ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Include stefanie in Pre-Party R&B Jams  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Add tune to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
rate the book The Scorpio Illusion a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Incorporate a roberto parra sandoval track into the Cena Elegante playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it better in Holi or here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find A Tale of Two Cities, a painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
the series City on Fire is a four  [predicted:  SearchCreativeWork ; correct:  RateBook ]
At meal time while I'm here will it be hot?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
