Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it possible to see Seed of Chucky  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show schedule for Loved by Thousands  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get foggy in Spring Hill?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Lets go to a steakhouse before we go to the pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can I see Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put A L Lloyd on gaming anthems  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
Is it warm in New Jersey in 23 minutes and fourteen seconds  [predicted:  AddToPlaylist ; correct:  GetWeather ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Who published the novel JamesEdition?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate this book a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Let me hear the top album by the artist, Skin.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Is it supposed to be colder at lunch time in Schuyler, Venezuela?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find an outdoor facility for midday in Datil at a pub for six  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I need the wather for next week in the Philippines  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put deep purple on this is jennifer lopez  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can you get me seating for 5 people 1 minute from now in Tuvalu  [predicted:  RateBook ; correct:  BookRestaurant ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want you to add the currently playing This Generation into my playlist called funtime activity  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you please get me the book Dracula 5: The Blood Legacy?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Play me the soundtrack for Nothing Personal.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get chillier in Sinclair in 8 hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
what day does the movie Star of the Circus play at ten PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include golden boy in Pop Dance  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give The Fox and the Hound a 1  [predicted:  GetWeather ; correct:  RateBook ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'd like to see the picture The Collection – The Collector 2  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it be hotter in my current place in six weeks from now  [predicted:  RateBook ; correct:  GetWeather ]
my step aunt and I want to go cheese fries at the tavern  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
read the book Journal of the Bombay Natural History Society  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
melba and I want to dine in Barbados next Jun.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
In seven hours from now will it rain at my current place  [predicted:  RateBook ; correct:  GetWeather ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give me something from the fifties  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to find out when Midnight Club is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the book City University of Hong Kong Law Review  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Reserve me a resturant for 5 at seventeen o'clock  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
rate the book English Grammar In Use a five  [predicted:  BookRestaurant ; correct:  RateBook ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need some Hardcore Hip Hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to go to the popular bistro in OH  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Does the forecast show a storm in Maquoketa, NH around July sixth?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to reserve a gastropub that has a spa.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
What is the current selling price of the novel The Sims 3: Island Paradise?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Am looking for a book with the title Free to Play  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it colder faraway from my current spot?  [predicted:  RateBook ; correct:  GetWeather ]
will it get chillier within walking distance of PW  [predicted:  BookRestaurant ; correct:  GetWeather ]
humidity in Olvey New Hampshire  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
put Unbound into found them first for me  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
i want to listen to Say It Again by Blackstratblues  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Is it possible to see Riddick at Consolidated Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Heartbreak at Pacific Theatres at two pm  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can you search the book, Paris - When It Sizzles?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put glenn stetson to my your daily routine playlis  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
show weather while Sunset in the same area in South Carolina  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
In UT at 7 pm will it be snowy  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Lets eat now somewhere in Roach  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to eat at a bakery with deidre and rosa in Jersey.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be overcast during meal time in NH?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
let's listen to the 1986 sound track by Mike Park  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to dine in Luray  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
On jan. the twentieth what will it feel like in CT or the area not far from it  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you pull up the American Music Awards of 1975  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What will the humidity be in the current spot at 15:19:29?  [predicted:  RateBook ; correct:  GetWeather ]
Are any films play at the Santikos Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Will it feel nicer in Finland or New Mexico today  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for A Kiss Before Dying.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I see Travelling Light?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get cloudy in Cliffwood Beach?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
SCORE:  2999 / 3140  ( 0.9550955414012738 )
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the Girl in Mirror movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time will Paris by Night aired  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is A Tree Grows in Brooklyn playing in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to the latest ballad from Ira Losco  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch Army at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to listen to the album going back to the blue ridge mountains on iheart  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play music from Art Porter Junior movie sound track using Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to the best from Jeff Loomis.  [predicted:  GetWeather ; correct:  PlayMusic ]
add repent replenish repeat to Classical Moments in Movies  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
When can I see The Crew of the Dora  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play artist stu davis from the album Dub Chamber 3 on Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I need to hear the new Kevin Fowler album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to Diana Vickers best tune from the twenties  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
1 point for this next textbook  [predicted:  GetWeather ; correct:  RateBook ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Give me an album from 1972 to listen to.  [predicted:  RateBook ; correct:  PlayMusic ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can i lesten to the latest album of T-bone Burnett  [predicted:  GetWeather ; correct:  PlayMusic ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
what time can i see The Half Naked Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to take my mom and I to the tea house  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the book The Crowd Roars  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I'm looking to get a seat at a brasserie in Togo.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see Apartment Hunting.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I give The Spirit of St. Louis a 1  [predicted:  GetWeather ; correct:  RateBook ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to give Gay Male Pornography: An Issue of Sex Discrimination a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Let me hear the top album by the artist, Skin.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the album Live In Munich by Laura Love.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give Death on the Nile a three  [predicted:  GetWeather ; correct:  RateBook ]
Find the book Cold Comfort  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
put th Power Gaming playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please get me seating at the tavern in Red Lick, Michigan  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
give me some Last Emperor  [predicted:  GetWeather ; correct:  PlayMusic ]
Who rated the book Women, Culture, and Society only 3 stars?  [predicted:  BookRestaurant ; correct:  RateBook ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  GetWeather ; correct:  PlayMusic ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will it be sunny in my current place at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Wimpy Kid Movie Diary  saga 4 out of 6  [predicted:  BookRestaurant ; correct:  RateBook ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Pull up Sweeney Todd - Il diabolico barbiere di Fleet Street  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for Fighting Vipers 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Foreign Affair.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear the top 5 Jamie Lidell songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give The Judas Tree a zero  [predicted:  GetWeather ; correct:  RateBook ]
put my raining playlist on  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give 5 star to the book The Knight of Newts  [predicted:  BookRestaurant ; correct:  RateBook ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play the trailer for A Lineage of Grace  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plya a tune by Kancherla Gopanna from 1951 on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I buy the movie Totality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
Where can I purchase the book Scales of Justice  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to find the Limited Lovers novel  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I give The Logic of Sense a zero  [predicted:  GetWeather ; correct:  RateBook ]
Where do get photograph of My Own Best Enemy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open The Second Adventure album by Hans Nilsson  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see the novel, The Green  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put El Mejor Rock en Español playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
Where can I read the book The Omega Stone?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
something on Spotify please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the showtimes for The Man Who Could Talk to Kids?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd give The Cricket in Times Square 3 stars  [predicted:  BookRestaurant ; correct:  RateBook ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
include pat smear on Guest List Engadget  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Show me the book Pokémon: The Johto Journeys  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When and where can I see A Film with Me in It  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I rate the book Rusty String Quartet a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
SCORE:  2988 / 3140  ( 0.9515923566878981 )
find Death Is Called Engelchen at Neighborhood Cinema Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
