find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is A Short Film About Killing at North American Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need seats for 6 at CHAR No.4 in Georgia  [predicted:  RateBook ; correct:  BookRestaurant ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
party for 2 in Cleveland  [predicted:  GetWeather ; correct:  BookRestaurant ]
one hour from now what will it be like in Cholame Rhode Island  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a time of 21 minutes from now for here  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Will there be a blizzard in White House Curacao  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
me, bobbie and colette want to go to The Peak Lookout in Felicity  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see We and Our Mountains  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What does For All the Wrong Reasons look like  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to take christy, louise and alexandra to eat at 17:38:04 anywhere in NE  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get me the Message from God saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my sons and I want to dine at The Water Club in Georgia  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to know when I can see The Taking of Flight 847: The Uli Derickson Story at Amco Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate The Ape-Man Within 4  [predicted:  GetWeather ; correct:  RateBook ]
Are any films play at the Santikos Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you search the book, Paris - When It Sizzles?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
therese, clara and I want to go to the Tennessee Ridge  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate The Keys to the White House a zero  [predicted:  GetWeather ; correct:  RateBook ]
Can you let me know where I can watch The Nest?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a diner  [predicted:  GetWeather ; correct:  BookRestaurant ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
Is it possible to see Seed of Chucky  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need to know is it freezing in MN at 01:27 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Bombshells saga download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book PM Park, Clear Lake, Iowa at 5 am for 6 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
I want to book the best pub for 6 in New Mexico  [predicted:  RateBook ; correct:  BookRestaurant ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the trailer for Chasing After Shadows... Living with the Ghosts.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate the book saga West with the Night a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
SCORE:  3016 / 3140  ( 0.9605095541401274 )
Book the Last Exit on Brooklyn 5 hours from now for one person.  [predicted:  RateBook ; correct:  BookRestaurant ]
Please play Bitch Please Ii  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time does A King in New York play in Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a place for me to eat in Connecticut for 9 and a half months from now  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find me music by Kaori Utatsuki off the album that has top-twenty hits  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play me the song Just to See You Smile.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to eat in Montana on 10/22/2030  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to see the trailer for No One  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to some Aaliyah  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to Attack of the Planet Smashers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book me seats for 6 at the best brasserie that serves marche neighboring my hostel  [predicted:  RateBook ; correct:  BookRestaurant ]
Find me a coffeehouse for nine in Indiana that has access to a pool  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be chilly in Penuelas Indonesia on Nov. 26th, 2030  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you pull up Channel M News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you get me the All Night Long 3: The Final Chapter novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
painting of Live from the El Rey Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get rainy like last March in Hagerman, Saint Vincent and the Grenadines?  [predicted:  AddToPlaylist ; correct:  GetWeather ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to hear Nas's greatest ballad  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
read the Background to Danger book  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Will it get windy this week-end in Selva Jedediah Smith?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Partners in Action at Dickinson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Wartime Romance in the morning  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
party of four somewhere in SD  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Open The Second Adventure album by Hans Nilsson  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be snowy at the current position by March 3?  [predicted:  RateBook ; correct:  GetWeather ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Can you get me seating for a party of 4  [predicted:  GetWeather ; correct:  BookRestaurant ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Schedule the food truck to be at your place in the distant future.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Please add james house to bleeps & bloops  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
PLpay the top ten track from Asia Nitollano on spotify.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The A Mighty Fortress series should be rated a two  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please make reservations for me and my roommate somewhere in Bouvet Island  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear songs from Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please find movie schedules  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please add Pop Punk Powerhouses by Valeri Leontjev to my play list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want to listen to Merrily We Roll Along by Marko Desantis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find a coffeehouse in Illinois for three  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the track Close To The Edge  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Put any 1972 record on.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a popular moroccan cafeteria  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play a trailer for Give It All  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for Enkitta Mothathe at Pacific Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Include golden boy in Pop Dance  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
forecase for Ohio in twenty one hours and one second  [predicted:  RateBook ; correct:  GetWeather ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Rate Pillar of Fire and Other Plays a three  [predicted:  GetWeather ; correct:  RateBook ]
When was the album Start a Fire released?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Let me listen to an eighties ep.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate Soul Music a 0.  [predicted:  AddToPlaylist ; correct:  RateBook ]
book a food truck in Nisswa for 4 at 5 pm  [predicted:  RateBook ; correct:  BookRestaurant ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find the schedule for Ghost World.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is A Battle of Wits starting?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the novel Playlist: The Very Best of Brad Paisley  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Hell House song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a bakery at zero o'clock for 5 people.  [predicted:  RateBook ; correct:  BookRestaurant ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I get the novel Flesh-Colored Horror  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need seats for 6 at a place in AK  [predicted:  RateBook ; correct:  BookRestaurant ]
I need some ambient music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
SCORE:  2992 / 3140  ( 0.9528662420382166 )
show cloud forcast in 1 hour in IA  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
rate Tropic of Orange a three  [predicted:  GetWeather ; correct:  RateBook ]
I need some Hardcore Hip Hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find me the book My People Were Fair and Had Sky in Their Hair… But Now They’re Content to Wear Stars on Their Brows  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
book of Two for the Road  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Merry Arizona 97: Desert Stars Shine at Christmas  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I'd like to hear the song Daimidaler: Prince vs Penguin Empire  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Pull up the movie Toy and Help Yourself  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want The Complete Global Albums Collection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up Three Fantastic Dances  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Looking for the album by the New Zealand Local Government  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Nubians of Plutonia trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
move Josiah Leming to te quiero list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where is Bernardsville?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find the novel Playlist: The Very Best of Brad Paisley  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
want to eat at a tea house for five  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I want to listen to the soundtrack Bed of Roses  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up the Atheist Manifesto: The Case Against Christianity album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find me The Real McCoy novel?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I  get Lahore  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the book F-1 Grand Prix Part II  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Find the McGill Law Journal movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate the book The Guernsey Literary and Potato Peel Pie Society a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Put the song playing on laverne's rapcaviar playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Ply best 1973 sound track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the Knockabout soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to the movie The Best of Pirates of the Mississippi  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put the frl menke song in my comedy top tracks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put gregory douglass in Halloween Teens please  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Blood Moon: Year of the Wolf, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Love in a Mist?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Ayumi Hamasaki Countdown Live 2007–2008 Anniversary song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Where can I find the picture of House Foundation  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the cheapest online price for the Instincts saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Journal of the European Economic Association, a movie I want to see  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Add Joe McPhee to my picnic in the park play list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Home Is Where the Music Is TV series  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Soul Music a 0.  [predicted:  AddToPlaylist ; correct:  RateBook ]
I want to watch Strange Brother  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to see the picture The Collection – The Collector 2  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
An interesting piece from 1991 please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
put coming back to life onto winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Can i see the Boat People?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to read the book The Lion Sleeps Tonight  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
