Search for Appalachian Journey  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate this book a five.  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where Can I watch Chaos and Desire?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to go to a pizzeria within walking distance of Hutchinson  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you play something off my Kids Workout playlist on Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear any top five music from Gene Autry  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Which cinema can I go to to see Lilly the Witch: The Dragon and the Magic Book?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to hear a song by Tim Reynolds  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What time is Beat the Devil coming on at Mann Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need Top Gear 2, please search it for me.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
find Fox Theatres with The Caretaker  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Man Who Won playing at 6 P.M.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
put four in blue onto Ultimate 00s.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter in the city of Ashford?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the It Could Only Happen With You album by Lawrence  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play something on Iheart from artist Ari Gold last album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you get me The Education of Little Tree song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play something on my Classic Jazz Funk playlist on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see showings for All the Way Home at Kerasotes Theatres.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Demolition Man at 11:09 PM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see The Somme starting at 16:01:04?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it get hotter around elevenses in KS?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the Live At Slane Castle album by Haifa Wehbe  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Open google music and play Women of Jazz playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can you help me search the Two Row Times show?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I would like to put taylor dayne on the pop 4 kids list  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
SCORE:  2867 / 3140  ( 0.9130573248407643 )
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like t add Day After Day to evangeline's Party of the Century playlist  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to hear music off my Indie Festival playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book the Union Oyster House in Guanica Puerto Rico.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Look up The Reverse of the Medal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear La Jaula De Oro by Mc Ren on Google Music.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Dummy playing at two a.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for the movie Songs in the Key of You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you get me The Border Patrol song?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play the best Sebastian Karlsson melody on Youtube  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the last album from Carsten Bohn  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Include Brandon Paris in The MetalSucks Playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
An interesting piece from 1991 please  [predicted:  GetWeather ; correct:  PlayMusic ]
Include Kunnon syy in my Trap Land playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch May Blossom  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
will it get warmer in Centenary around the Evening?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like to watch Apocalypse 2024  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please search for the Two Faces of My Girlfriend saga.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the painting, Modern times.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put the frl menke song in my comedy top tracks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
use Deezer to play top five Moya Brennan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is A Tree Grows in Brooklyn playing in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play the best Becca  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please look up the song, Twist of shadows.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate this book titled The Silver Chalice a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Please look up the Falls Church News-Press album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to buy book Charlie Countryman deve morire  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Is The Two Gladiators playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule for Rat Rod Rockers!  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include Jesper Kyd in the Grime Instrumentals playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Search for The Nations  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to some Aaliyah  [predicted:  GetWeather ; correct:  PlayMusic ]
Please start playing some thirties theme music.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Play some diva house.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up The Lakes of Canada album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find and play a concerto on Zvooq from 1978 by Ginger Pooley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the album Picchio Dal Pozzo from Con Hunley  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
my indietronic playlist needs until the end of time added  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
use Vimeo to play De Camino a Clase playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the picture of Workin’ with the Miles Davis Quintet  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I catch a screening of Shivers in Summer?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Estelle should be on my spring playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Please include Emily Remler in Indie Bluegrass  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
ad this track by Isobel Campbell to my Folk for Kids list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does The Maze start at Cineplex Odeon Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
stick Fonseca in the Songs to Sing in the Car playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
I want novena on a nocturn added to the playlist called Gold Edition  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get hotter in the city of Ashford?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Swarna Trishna playinh at Loews Cineplex  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Give this book a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
Is The Unnaturals showing at 13.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'm wondering if I can watch Heyy Babyy at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch The Slender Thread at 6 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear Richard Falomir's best song on Pandora  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to hear music on deezer, play the most popular songs by Daisy Berkowitz.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it get hotter around elevenses in KS?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation for a tea house in Lorain  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Play a tune or two from Kansas City, Missouri  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
edit Aux Cord Privileges playlist by putting this tune on it  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please search for Columbia Records 1958–1986.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play some Last Fm music like the 1992 ep from Peaches  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you help me search the album titled PlayMaker Football?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find me music by Kaori Utatsuki off the album that has top-twenty hits  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Rock This playlist with Badonviller Marsch  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please search the song Poomadhathe Pennu.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Dead Matter at Speakeasy Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
please add this song to Madden NFL 16  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I would like to put taylor dayne on the pop 4 kids list  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can you play a top 5 song by Manos Hadjidakis  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
The dubstep dangles dirty playlist needs Digital at Montreux in it  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
ticket for The Perfect Man at Dickinson Theatres at 10 A.M.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
Open Zvooq and play the best songs from Device  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let me listen to Rouhollah Khaleghi on deezer.  [predicted:  GetWeather ; correct:  PlayMusic ]
Is Covered Wagon Days playing at B&B Theatres in 1 second?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Incorporate Nao Kawakita into the epic classical playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
put my Family Road Trip playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I get the Butterfly Crush showings  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Married to the Enemy 2 at a cinema.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Search for Infantry  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Start playing something from Iheart  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Where is White Bim Black Ear  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Include in my dreams in the this is new edition playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Can you look up the Bireswar album?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to hear Nas's greatest ballad  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open pandora and play the top five melody by Hanna Sjedokowa  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search The Olympic Champ book.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
this track should go into my playlist called This Is Beethoven  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Hook me up with a song by Dancing Girl.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is A Short Film About Killing at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for Pat and Margaret  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you play something off my Kids Workout playlist on Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up Two More Years soundtrack.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
this track should get added to Spain Top 50  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to give this book zero  [predicted:  BookRestaurant ; correct:  RateBook ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please pull up the album, The Last War  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can you find me the movie, The Girl and the General?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find films at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch films at Marcus Corporation at twelve P.M.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play One Way Ticket by Ray Kennedy.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like showtimes for The Story of Wish You Were Here.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put the song playing on laverne's rapcaviar playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please search for the Drop-In song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to play the top ten Mickdeth on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch Three Word Brand at the cinema  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
move Josiah Leming to te quiero list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to hear Infinite Indie Folk on Slacker.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to hear music from 1951, preferably a soundtrack.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  GetWeather ; correct:  PlayMusic ]
Is there rain in Nauru at 6 am  [predicted:  RateBook ; correct:  GetWeather ]
What time is Three Cuckoo Clocks playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Looking for a song with the title of Hollywood Star Playhouse  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you search for Twilight Is Gone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get The Marine 2 showtimes.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Put the joy division the complete bbc recordings on 40 hits  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please pull up Nothing Feels Good  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Play the best sort by Jan Robbe on pandora  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put Ramy Ayach on Latin Pop Rising  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to listen to the soundtrack Adobe Digital Editions  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Plaly The Ladybug Transistor by Loreena Mckennitt.  [predicted:  GetWeather ; correct:  PlayMusic ]
I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 04:08:11 AM  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put this Lidell Townsell track on esenciales  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like to hear a song by Tim Reynolds  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
this chronicle rates a one for First Contact?  [predicted:  GetWeather ; correct:  RateBook ]
Will it get windy close by here?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Rate the book An Appeal from the New to the Old Whigs a 0  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch A Storm in the Stars at North American Cinemas  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find The Watcher at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put hampartsoum limondjian in running to rock 170 to 190 bpm  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can this song get added to lunchtime?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
put this Tripp Eisen song on canta en la ducha  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please search The Best of Steely Dan: Then and Now saga.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play the top-20 best Chicane songs on Deezer  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where to get album Justified  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play some music from the last album of 1988 on Lastfm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best chant of 1975  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it snowstorm neighboring the Rio Grande Wild and Scenic River on feb. the second?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play Robin Hood Rescuing Three Squires by Bhupinder Singh  [predicted:  GetWeather ; correct:  PlayMusic ]
Find the album Blood of Emeralds – The Very Best of Gary Moore Part 2  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
napoleon xiv should be added to sharlene's playlist transatlantic lullaby  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please look up the Power and Love movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put gregory douglass in Halloween Teens please  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
