what will be the temperature 1 minute and 8 seconds from now in Green Bottom Wildlife Management Area  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  GetWeather ; correct:  BookRestaurant ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put once bitten twice bitten into the pulse of americana  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where can I get Harry Potter and the Philosopher’s Stone  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can ten green bottles be added to brooklyn beat?  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What time is 楽園追放 -Expelled from Paradise-  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
SCORE:  2974 / 3140  ( 0.9471337579617835 )
The ultimate 90s needs avant que l’ombre à bercy in it.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
What are the showtimes for Beware! The Blob at Plitt Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the novel Behind closed doors  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find Mysterious Castles of Clay  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Brick.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be snowfall at the current location at 3 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Find the schedule for Great Mail Robbery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I am looking for Shoot Me Down  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the Read All About It picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where Can I watch Chaos and Desire?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is it chilly anywhere faraway from my current place  [predicted:  RateBook ; correct:  GetWeather ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Give me the schedule for Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weather be in the current place 1 minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Is The Man Who Won playing at 6 P.M.?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
What are the showtimes for Boy of Mine  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like for this song to be added to the new waltz.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be cloudy one hour from now in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Pull up Mafia: The City of Lost Heaven  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where is My Song Goes Forth playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Medal for the General  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Print the Legend soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Is The Matinee Idol 06:30 cinema sold out?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I need a diner  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Kraken: Tentacles of the Deep play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where can I see The Prime Ministers: The Pioneers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what film to see at ArcLight Hollywood  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find me The Ridiculous 6 book?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
read the novel Friend: The Great Legacy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the showtimes for Fit for a King?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what are the times for The Gingerbread Man  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
rate the book saga West with the Night a 2  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to see Outcast.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want Sugarfoot  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
The Battle for Skies gets a three  [predicted:  GetWeather ; correct:  RateBook ]
find the movie You Must First Learn to Draw the Real  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
where can i watch Wartime Romance in the morning  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know where I can watch The Nest?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to read Mad Money  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a restaurant in FM that servec quiche  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Show me schedules to see A Film with Me in It.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Infantry  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to eat at Old Dutch in 15 seconds in Northern Mariana Islands  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Will it be hot in the current place two hundred fourteen days from now?  [predicted:  RateBook ; correct:  GetWeather ]
Wish to find the movie the Heart Beat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Look for the novel Rings of Steel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Jack  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please find the schedule for Jappeloup at Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to watch The Details at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search The Olympic Champ book.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to watch The Holy Office at Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate Dixie Lullaby: A Story of Music, Race and New Beginnings in a New South five out of 6 points  [predicted:  BookRestaurant ; correct:  RateBook ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for Appalachian Journey  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show me the schedule for The Oblong Box  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
My Idea of Fun is a book that should get 2 stars.  [predicted:  BookRestaurant ; correct:  RateBook ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate this book a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
Gods and Pawns should get a three  [predicted:  GetWeather ; correct:  RateBook ]
Look up The Brave Archer 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Open my acoustic concentration playlist and play an entire album  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Will it rain in Blissfield Namibia nine hours 1 minute and one second from now?  [predicted:  RateBook ; correct:  GetWeather ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can I get the showings for Mysterious Crossing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me the Growing Artichokes in Mimongo movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Nightwork soundtrack download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Sex Tape - Finiti in rete  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is it cold in the current location more than it was in 3 years  [predicted:  RateBook ; correct:  GetWeather ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
give two star to As Long as We Both Shall Live book  [predicted:  BookRestaurant ; correct:  RateBook ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find me the movie with the title of Twitches  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm wondering when I can see Hurry Sundown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me the Maldeamores saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I listen to Willy and the Poor Boys  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Completely Well  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show me the schedule for Rat Rod Rockers!  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What will the weather be like 1 minute from now within the same area of my current location  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
i want to see JLA Adventures: Trapped In Time  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is Journal of Geriatric Psychiatry and Neurology  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where and at what time can I see Paragraphe 78  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to my Spain Top 50 playlist on groove shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I locate Leo the Lion for purchase  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where and when can I see The Image Makers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look up The Collection Volume One novel  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Where to buy painting Target Practice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will there be rainfall in Ryland Heights New York?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the song Aura II: The Sacred Rings  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Ce cher intrus at IMAX Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be hotter at my current place at 02:22:32 pm  [predicted:  RateBook ; correct:  GetWeather ]
play The Sea Cabinet  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I purchase Papers in Regional Science, the album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it get chillier in Las Lomas, British Virgin Islands on Nov. the 21st?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Can you find me the movie, The Girl and the General?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Fist of the North Star 1 minute from now  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
look for the book The Girl Who Was Plugged In  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When is One Sunday Morning scheduled to be played?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Looking for Kepler scientific workflow system  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can this song get added to lunchtime?  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
where can Ifind You Know Me, a saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate the book A Girl, a Man, and a River a five  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be overcast in my current location at twelve PM.  [predicted:  RateBook ; correct:  GetWeather ]
rate the book Whit a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch Wish You Were Dead  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
what time can i see The Conflicts of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the movie Darkness Come Alive  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Will it get chillier in North Creek Forest?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When is One by One playing?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Add Spanish Harlem Incident to cleaning the house  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
what time can i see Mojave Phone Booth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When can I go see The Untold Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
When is Harassed being played at Plitt Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you find me the Children of Jerusalem: Yehuda movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the Cineplex Odeon Corporation showings for Small Town Story?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is One Night Surprise at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Give me the showtimes for Sign of the Anchor.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
when can i see Red Hot Tires  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Welcome to the El-Palacio, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be colder in the Apache-Sitgreaves National Forest at 6 Pm .  [predicted:  RateBook ; correct:  GetWeather ]
The Forest should be rated a four  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Food Uncut soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you find the movie Accidentally in Love  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me the showtimes for How to Commit Marriage.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Invisible Child at Southern Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Press of Atlantic City movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to see DOA: Dead or Alive at Loews Cineplex Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I get the album So Fresh: The Hits of Spring 2011  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to see Married to the Enemy 2 at a cinema.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Find the movie Poison Ivy: The New Seduction  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
A Conspiracy of Paper deserves a solid 3  [predicted:  GetWeather ; correct:  RateBook ]
Look for the movie Songs in the Key of You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
rate this book a zero  [predicted:  BookRestaurant ; correct:  RateBook ]
What time does Tie a Yellow Ribbon play at Magic Johnson Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
mark this album a score of 5  [predicted:  AddToPlaylist ; correct:  RateBook ]
Please look up the song The Mad Magician.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please give me information on when Prisoner of Zenda will be shown.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for for The Unnaturals at 13.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Unbeatable Harold at Century Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want the song Phrazes for the Young  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking to watch Savage Grace at Showcase Cinemas at thirteen o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a creole restaurant  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find Manthra Mothiram at Century Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
find a saga with 0 rating called Poems for Midnight  [predicted:  BookRestaurant ; correct:  RateBook ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
What are the current showtimes for Love Fiction?  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find the movie Girl on the Trapeze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to know when I can see The Taking of Flight 847: The Uli Derickson Story at Amco Entertainment.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a movie called No. 1 In Heaven.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
what time can i see Girls to Marry  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
listen to acapella  [predicted:  GetWeather ; correct:  PlayMusic ]
I need a 6 rating or five with something like a saga in The Best Science Fiction of the Year 13  [predicted:  BookRestaurant ; correct:  RateBook ]
Can you find me the movie The Countess?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please look up the song, Twist of shadows.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see We and Our Mountains  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the schedule for Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Those Kids from Town, when will it be showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Angry Birds Movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Can you search for Twilight Is Gone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
show me the schedule of Dead Snow  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Las aventuras de Zachary Beaver at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated fast food place that serves north indian food not distant from Moores Mill  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Please look up the Around the World in Eighty Days movie.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can you play The Wanderer and His Shadow  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is All Night Long 3 playing 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
SCORE:  2893 / 3129  ( 0.9245765420262064 )
melba and I want to dine in Barbados next Jun.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where and when can I see The Image Makers  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can i use Lastfm to listen to Twilight Time by Dj Khalil?  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I purchase Wuthering Heights  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to have southeastern brazilian at the pub in Dominica  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play the album The Outpost  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is F.I.S.T. at Malco Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what time can i see The Conflicts of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Take me to the top-rated taverna in Sealy for trattoria next week for 5  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Rest of My Life  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
show freezing forcast now within the same area in North Dakota  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
How is the humidity near my current place  [predicted:  RateBook ; correct:  GetWeather ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find me showtimes for A Christmas Story starting at eleven o'clock.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Happy Ghost III at Caribbean Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Lets go far to The Wolseley in Maine  [predicted:  GetWeather ; correct:  BookRestaurant ]
Something by Danielle Polanco in 1986  [predicted:  GetWeather ; correct:  PlayMusic ]
What time does Tie a Yellow Ribbon play at Magic Johnson Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is Mentioned in Confidence at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
find the movie Don’t Break the Heart That Loves You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give me the schedule for Getting There: Sweet 16 and Licensed to Drive  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
