Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where is The Wilderness Trail playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Do you know of a song by the Mande Studies Association?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the top five Cemil Bey songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time is Too Young to Marry showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  2870 / 3140  ( 0.9140127388535032 )
Show The Legend of Jesse James novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the novel What We Did on Our Holiday  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Brave Archer 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
want to eat at Diners of Allentown, Pennsylvania on purim  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time does The Maze start at Cineplex Odeon Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the Live At Slane Castle album by Haifa Wehbe  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
CAn I get the the showtimes for The Jade Faced Assassin cinema?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it supposed to rain nearby my current location at 0 o'clock?  [predicted:  RateBook ; correct:  GetWeather ]
Lets eat at Newport Creamery in Carnot  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play Everybody Wins trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to watch Ghosts of the Abyss at Kerasotes Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Love Coach playing at Speakeasy Theaters?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
how's the forecast for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Put the frl menke song in my comedy top tracks  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Give The Plague a 0  [predicted:  GetWeather ; correct:  RateBook ]
I am looking for Shoot Me Down  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I purchase the saga The Second Life of Samuel Tyne  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I need to episodes for the TV series, Fast Food Nation.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play Party Through The Decades on Deezer  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear the latest twenties album from Kyle Riabko  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Search for the Complots  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
What is Party All Night  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want to eat Louisiana Fried Chicken in McColl, IA  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Put The Orange and the Green on Los 40 Radio Éxitos  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Is Brother at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play something on my Classic Jazz Funk playlist on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear This Is The Night from Proof  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Please include danni bassan in my Perfect Concentration  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
find National Amusements with Honey, I Shrunk the Kids  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets take me, cherry and tracie to a Noyack bar  [predicted:  GetWeather ; correct:  BookRestaurant ]
Put Kim Kibum in my the martin garrix show playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need to hear a thirties soundtrack  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to watch Heartbreak at Pacific Theatres at two pm  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
rate The Brothers Karamazov a four  [predicted:  GetWeather ; correct:  RateBook ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to hear a top five ballad from 2002  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to an album sorted by last, open Google Music and play Paulinho Da Viola.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open The Second Adventure album by Hans Nilsson  [predicted:  GetWeather ; correct:  PlayMusic ]
read the Black-Body Theory and the Quantum Discontinuity novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Too Young to Marry showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want new steps to go on the leche con chocolate list  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
what is the forecast in 23 hours and seventeen seconds at this current spot  [predicted:  RateBook ; correct:  GetWeather ]
Go to the saga The Quantum Thief  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
looking for Liberalism and the Limits of Justice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I would like this artist on drum & breaks.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
When is For Lovers Only playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When's Fools for Luck showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Fine a movie called Right Here Right Now.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
my té para tres needs Brave and Crazy added on.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to hear symphony songs from Rebecca Cartwright on Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Estelle should be on my spring playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Find an Oasis Drive-In close-by Beach 105th St.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put Johnny Wakelin  on my té para tres lis  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Include hohenfriedberger marsch to my Novedades Pop list.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play One Good Reason by Tommy Flanagan on Itunes  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I see the album SWAT Force?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can i get todays showtimes for Le Flic de Beverly Hills 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to hear any top five music from Gene Autry  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can I buy the book Vacation of Petrov and Vasechkin online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When does Of Stars and Men play?  [predicted:  AddToPlaylist ; correct:  SearchScreeningEvent ]
find Long Hello and Short Goodbye, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Welcome to the El-Palacio, a movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate Cotton Comes to Harlem a 2  [predicted:  GetWeather ; correct:  RateBook ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
add sonntag to my Assassin's Creed  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where to buy painting Target Practice  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show me the movie Haunted Spooks  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give The Phantom Ship a zero.  [predicted:  GetWeather ; correct:  RateBook ]
I need a table at a restaurant in Montserrat  [predicted:  BookRestaurant ; correct:  GetWeather ]
Look for the Itv.com song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is The Wilderness Trail playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the playlist, A Mis Niños de 30.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Rate The Empty Throne a 4  [predicted:  GetWeather ; correct:  RateBook ]
where can Ifind You Know Me, a saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show creativity of The Greatest Movie Ever Sold  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
add house afterwork to my the cave canem demos  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
is These Girls at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Make me a reservation for elvira and I in Brazil  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like to hear songs from Iheart  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show The Singles Collection Volume 4  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find the novel Make Peace Not War  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is The Blue of Heaven playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a reservation for a tea house in Lorain  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Find a movie called No. 1 In Heaven.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play music from jeremy taylor on the album Dormi Amore, La Situazione Non È Buona on Groove Shark  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
What time will the Amco Entertainment  be plying The Teeth of the Tiger  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to be Main Deli Steak House near Hendley.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Play Party Anthems  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find a pub for me in FM  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play the game Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see The River of Stars TV series  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Search for The Nations  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear some trip-hop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is The Stain playing at Loews Cineplex?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look for the District 9 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Include Hermann Baumann in my Texas Red Dirt list  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Where to get album Justified  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rat Short Trips: A Christmas Treasury a 3  [predicted:  GetWeather ; correct:  RateBook ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Please get seating at Bouchon in Tonga for jimmie and chasity howard  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I think that this book deserves a 3  [predicted:  BookRestaurant ; correct:  RateBook ]
Nightwork soundtrack download  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I purchase Papers in Regional Science, the album?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give Jackass Investing a three  [predicted:  GetWeather ; correct:  RateBook ]
I want to hear a Sandra ep  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Book the Bobcat Bite.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find a TV series called All Time Greatest Movie Songs.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy book Charlie Countryman deve morire  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to After Dusk They Come  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play a song by Electric Tones from their Kurutta Taiyō album on Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Lets go to the Rainforest Cafe that is in the same area as 135th St  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
casey chavez, lucinda and karina want to eat at a diner on december the 7th  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Rate A Taste of Blackberries  a three  [predicted:  GetWeather ; correct:  RateBook ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I purchase Paradise Tonight online?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
rate Peveril of the Peak a five  [predicted:  GetWeather ; correct:  RateBook ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Freud: A Life for Our Time deserves a solid 4  [predicted:  GetWeather ; correct:  RateBook ]
Include the album by Arthur Rhames in Urban Poet  [predicted:  GetWeather ; correct:  AddToPlaylist ]
where is The Incite Mill playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Goodbye Mr. Chips showing twelve minutes from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show weather forcast here at 19  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Sort to the last song on playlist from 1983 a chant by Mark Oliver Everett  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
book now in KY at Loveless Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find me a creole restaurant  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
add zamiast burzy to Phunkadelic  [predicted:  GetWeather ; correct:  AddToPlaylist ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Cartel Vol. 2 novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy Education for Chemical Engineers  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear Ami Suzuki's latest record  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play something by grandmaster flash & the furious five on youtube  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the album Suites & Sweets  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me a table for me and my grandkid in Union Square Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can this song get added to lunchtime?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please pull up the album, The Last War  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Boo to You Too! Winnie the Pooh playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the photograph of Johnny Cool  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
search for Pat and Margaret  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Key to the City  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
restaurant scandinavian in Grenada  [predicted:  GetWeather ; correct:  BookRestaurant ]
put this Tripp Eisen song on canta en la ducha  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the best ballad by The Rascals.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where do i purchase the book, Baby-Sittor?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
reserve a spotat the food truck twelve weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where to get painting of Channel 4 News  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Use service Vimeo to play music from the artist Mick track Now We Are 5  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Look up The Reverse of the Medal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Book a cafeteria with wifi  [predicted:  GetWeather ; correct:  BookRestaurant ]
find A Feather in Her Hat at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
search for movie Turn Back the Clock  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is A Short Film About Killing at North American Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for The Adventures of Cookie & Cream  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the video game ESPN Major League Soccer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I would like Ignacio Figueredo's tune added to electroNOW.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play me the trailer for Star Control.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the top 5 by Akira The Don.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Arthur 2 – On the Rocks playing at 20:44?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
search for Space on My Hands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the novel The Last of Sheila  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I need a diner  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you get me a table reserved for three hundred thirty three days from now for eight people at a highly rated fast food place that serves north indian food not distant from Moores Mill  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
fimd Glory  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to watch The Freckled Fish at 00:47:43 at Magic Johnson Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the photograph The Inflated Tear  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
find the movie Everywhere But Home  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Can you get seating for 1 person at a cafeteria in Pauls Crossroads  [predicted:  GetWeather ; correct:  BookRestaurant ]
play some best selling rave songs  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
where is The Cycle playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
I want a list of showings of Days of Fire at Harkins Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play a top five Jonny Buckland symphony from around 1989  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where can I view the picture of Workin’ with the Miles Davis Quintet  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find a restaurant in FM that servec quiche  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
play Party Ben on Slacker  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
put paula abdul on Musica Española 2017  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to give The Cat Who Walks Through Walls a 1  [predicted:  BookRestaurant ; correct:  RateBook ]
restaurant in West Virginia for my son and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Three Cuckoo Clocks playing?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me the trailer for Gainesville Daily Register.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How to get saga Stronda Style  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play a top 5 song from Wally Bastian on Google Music  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Shanghaï Express  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to iheart radio's chill out playlist please.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to listen to Space music  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What is the Read All About It picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to listen to Roger Daltrey from the sixties on slacker  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
when can iw atch Great Balls of Fire! - Vampate di fuoco  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please get seating for me and my children  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play the album Winner Takes All by Takuro with Last Fm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show the Three Tales album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show movie The Skeptic – Das teuflische Haus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
ad Czarna dziewczyna to instrumental madness playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can you search A Song for Mama book for me?  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I'd like to hear Helen Baylor  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
listen to Pmd symphony  [predicted:  GetWeather ; correct:  PlayMusic ]
Play The New Retro playlist on Netflix.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will it be humid at the current location one minute from now?  [predicted:  RateBook ; correct:  GetWeather ]
Rate Hocus Bogus a 4.  [predicted:  GetWeather ; correct:  RateBook ]
What theater is showing From Paris with Love and when?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
in one hour find King of Hearts  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to a concerto from Timour Moutsouraev.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Looking for Kepler scientific workflow system  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be sunny at three pm in my current position  [predicted:  RateBook ; correct:  GetWeather ]
Play the album, Dance Hall At Louse Point.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where is Mother and Child plkaying  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Will it be overcast in my current location at twelve PM.  [predicted:  RateBook ; correct:  GetWeather ]
Find me the novel titled Fertile Ground  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When can I see Journey to the End of the Night?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read Mad Money  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Always Brando showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find The Passion of Michel Foucault novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
put once bitten twice bitten into the pulse of americana  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want Sugarfoot  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the best Elizaveta Khripounova  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Get a chimichanga meal at a bakery  [predicted:  GetWeather ; correct:  BookRestaurant ]
find the movie Yoshimi Battles the Hip-Hop Robots  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate The Making of a Teacher a two  [predicted:  GetWeather ; correct:  RateBook ]
play playlist A Mis Niños de 30  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Place this tune in workout remix  [predicted:  GetWeather ; correct:  AddToPlaylist ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When can I see Salaam-e-Ishq: A Tribute To Love at B&B Theatres?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
