I want to listen to an album from Sibel.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the top-20 best Chicane songs on Deezer  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the song The Beast from 20?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Pressure Cracks with Netflix  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the best album from the seventies  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Add the current artist to my sxsw latin  [predicted:  RateBook ; correct:  AddToPlaylist ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Check the forecast for the current spot in the future Oct. 19, 2037.  [predicted:  RateBook ; correct:  GetWeather ]
find a Loews Cineplex with films  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to see Shattered Image.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please start playing some thirties theme music.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I didn't like the book Nobody Lives For Ever, I give it a 2.  [predicted:  BookRestaurant ; correct:  RateBook ]
what time is Achilles and the Tortoise showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Cowboy Canteen playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is The Blue of Heaven playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Little Irish Girl playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Turn on Slacker radio.  [predicted:  GetWeather ; correct:  PlayMusic ]
Is Babar: King of the Elephants playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
Play a trailer for Sencha Touch  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Great Mail Robbery.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Short of Love playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Two Gladiators playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for the Girl in Mirror movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
How cold will it get in Tajikistan around oct. eleventh?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
give The Judas Tree a zero  [predicted:  GetWeather ; correct:  RateBook ]
What time is The Bride Wore Boots playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me a novel by Onnaam Muhurtham  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is The Stain playing at Loews Cineplex?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When's Fools for Luck showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the previous textbook is a 3  [predicted:  GetWeather ; correct:  RateBook ]
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will there be a blizzard at 2 am in my current place  [predicted:  RateBook ; correct:  GetWeather ]
what films are at Cinemark Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Robin Hood Rescuing Three Squires by Bhupinder Singh  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will it be hot in New York on october the 1st, 2026?  [predicted:  PlayMusic ; correct:  GetWeather ]
look for the book titled Iranian Journal of Fuzzy Systems  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When is For One Night playing at Loews Cineplex Entertainment?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
this track should get added to Spain Top 50  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the album, Dance Hall At Louse Point.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find the novel A Civil War: Army vs. Navy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is Unholy Women playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the trailer for A Lineage of Grace  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show movie The Skeptic – Das teuflische Haus  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
turn on Last Fm  [predicted:  GetWeather ; correct:  PlayMusic ]
book in Vermont at The Maisonette  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start playing anything Mike Muir made in the thirties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Put gregory douglass in Halloween Teens please  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When and where can I see A Film with Me in It  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is The Johnstown Flood playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd rate Days of Blood and Starlight a 4  [predicted:  BookRestaurant ; correct:  RateBook ]
Is Love and Other Troubles playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Unnaturals showing at 13.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I get the showtimes for The Scarlet and the Black  at 12 pm.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is Rumor Has It playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How can I view the show Corpus: A Home Movie About Selena?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Go to the saga The Quantum Thief  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
what time is Bordertown Trail showing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Robotix playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
How snowy will it be in this current place on Feb. first, 2034?  [predicted:  RateBook ; correct:  GetWeather ]
Will there be sun at four PM at Runkaus Strict Nature Reserve  [predicted:  BookRestaurant ; correct:  GetWeather ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play a song off The Best Of Siouxsie & The Banshees by Faustino Oramas  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
table for 6 at a bar  [predicted:  RateBook ; correct:  BookRestaurant ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the novel WWE Legends of WrestleMania  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
will the weather be cloudy at 0 PM at my current position  [predicted:  RateBook ; correct:  GetWeather ]
Where is Project A Part II playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the photograph The Phantom Horse  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Please search the title The Twilight Saga: Breaking Dawn Part 2.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play some music from the last album of 1988 on Lastfm  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find me the novel, Between the Rivers.  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Will it be foggy in 1 hour and 1 minute from now in OK  [predicted:  RateBook ; correct:  GetWeather ]
Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What's the forecast for my current spot  [predicted:  RateBook ; correct:  GetWeather ]
Is Brother at United Paramount Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Goodbye Mr. Chips showing twelve minutes from now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
show chillier conditions next week in Camp Bird  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where do get photograph of My Own Best Enemy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find the schedule for Success.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Check the schedule for Bow Tie Cinemas.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open Netflix and find a movie with the song heartful  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to hear the album Picchio Dal Pozzo from Con Hunley  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the schedule for Death Valley Manhunt.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Look up the Fair Warning saga  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will you pull up my Jueves de Antaño playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the best sort by Jan Robbe on pandora  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find a movie called October Road  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Search for Another Cinderella Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I see William Comes to Town at KB Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the following essay is a two  [predicted:  GetWeather ; correct:  RateBook ]
Find the films at ArcLight Hollywood.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
this chronicle of The Origins and History of Consciousness is a three  [predicted:  GetWeather ; correct:  RateBook ]
play the Graduate Faculty Philosophy Journal album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play the album alas y raíces by Dave Pybus.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is Without Witness playing twenty two hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where to buy Unarchigal  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What time is High Schools playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Mission to Mir  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show the Whispering Willows novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Love Is a Ball playing right now?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i see the Encounters?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is For Lovers Only playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Wayning Moments by Rabbit Brown  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Will I Think I Do be playing at 7 PM?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
How to get saga Stronda Style  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find a reservation in Deweese for my sister and I  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
read the novel On-Line Encyclopedia of Integer Sequences  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is The Ghost playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I view the photograph of Johnny Cool  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Plan an album by Roni Duani.  [predicted:  GetWeather ; correct:  PlayMusic ]
what theater is showing Trouble in Paradise at 00:45 am  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to the movie Welcome to Tokyo  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Whens the next showing of The Game of Their Lives  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can you find the novel Stoneage Romeos  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the Fields of Sacrifice movie  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
There can I find The Beggar Maid playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Fear Chamber.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When can I see The Crew of the Dora  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What theater is showing From Paris with Love and when?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is it possible to see Corn at eleven A.M. at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the album Cara De Dios.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where can I watch Mabel’s Dramatic Career at twenty two o'clock  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Lets eat near Oakfield 17 seconds from now at Ted Peters Famous Smoked Fish  [predicted:  GetWeather ; correct:  BookRestaurant ]
Can I see Ellis Island Revisited in 1 minute  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
what time is One Night Stand showing at Cineplex Odeon Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I see No Time to Die?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show the forecast for Moonlight Beach at 10/4/2021  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Where is Boo to You Too! Winnie the Pooh playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Buy Cannabis painting  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I watch Portrait of a Woman, Nude in 1 hour?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the book The Royal Thousand  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to see Teeny Little Super Guy at Malco Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the schedule for Grand Canyon Trail.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you play a top 5 song by Manos Hadjidakis  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Search for the Complots  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Are there any films around here  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give Whispers in the Graveyard a five.  [predicted:  GetWeather ; correct:  RateBook ]
renee sanders, marlene and jewel want to go to a gastropub in the spa  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Is it warm in the current spot?  [predicted:  RateBook ; correct:  GetWeather ]
will it get warmer in Centenary around the Evening?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for the Abel Sánchez: The History of a Passion novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
show the movie Move Any Mountain  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play some diva house.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What time is The Ladies Diplomat playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
When is The Blood of Others playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is Tomorrow at Dawn at Harkins Theatres  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
where is The Incite Mill playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What theater is playing Haunted Honeymoon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Lukasz Gottwald album on Zvooq  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
use Vimeo to play De Camino a Clase playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Open pandora and play the top five melody by Hanna Sjedokowa  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to listen to the album Magical Girl Lyrical Nanoha StrikerS  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Find me a showing of The Vanquished that starts nine hours and 1 second from now.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Miguelito top charting album  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the last album from Carsten Bohn  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Shw the picture Twin Husbands  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
want to find the novel called Innocent Until Caught 2: Guilty  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
is These Girls at the cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
An interesting piece from 1991 please  [predicted:  GetWeather ; correct:  PlayMusic ]
play the best Elizaveta Khripounova  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find the movie Chaos Is Me  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find the novel Make Peace Not War  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to eat in Wallis and Futuna and get a blizzard  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What films are at Cineplex Odeon Corporation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find a movie called Emerald City  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where can I purchase the Twenty Chickens for a Saddle saga?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Show the Three Tales album  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find time for Ace of the Saddle  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time is High Spirits playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show me the schedule for The Oblong Box  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I see the album SWAT Force?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I read the book The Omega Stone?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Rate A Pelican at Blandings a 2  [predicted:  GetWeather ; correct:  RateBook ]
I want to book a restaurant in 40 weeks in Iowa.  [predicted:  BookRestaurant ; correct:  GetWeather ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate the Egg Collecting and Bird Life of Australia saga a one  [predicted:  BookRestaurant ; correct:  RateBook ]
I'd like to visit a pizzeria with a pool at fourteen o'clock.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Look for the Itv.com song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  2752 / 3129  ( 0.879514221796101 )
Lets go eat in Friday 43 days from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
Is A Master of Craft playing at Wanda Group  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can i get the showtimes for Man in Blues?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play The Last Mile album  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Search for The Sound of One Hand Clapping  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear a full album on youtube by Jem Godfrey  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Where do get photograph of My Own Best Enemy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Will it be chillier at my current location in one minute?  [predicted:  RateBook ; correct:  GetWeather ]
Is it going to be cloudy in my current spot for dinner?  [predicted:  RateBook ; correct:  GetWeather ]
play Richard Thompson from the thirties song book  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The New Retro playlist on Netflix.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
when can i see Dinosaur from the Deep  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Looking for the album by the New Zealand Local Government  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What time is Beat the Devil coming on at Mann Theatres  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to World of Warcraft: Tides of Darkness  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Where is Project A Part II playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play A Box of Birds trailer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me the showtimes for Down Where The Buffalo Go at Amco Entertainment  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate All That Remains a five  [predicted:  GetWeather ; correct:  RateBook ]
Search for Informix Wingz  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Is Race Gurram playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Showtimes for Butterfly on a Wheel.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I watch The Mark in a cinema  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let me know when The Maiden Danced to Death will be screened at a cinema.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show me the forecast for Wisconsin  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find a movie called No More Sadface  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Lets go to a steakhouse before we go to the pool  [predicted:  GetWeather ; correct:  BookRestaurant ]
What time is Bloody Twilight playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Search for To Heart 2  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Locate the best pub in Apache Junction  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the best songs of 2016  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please look up the book, The Wacken Carnage.  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
Where is Chips in Crouch  [predicted:  GetWeather ; correct:  BookRestaurant ]
Book a restaurant in Three Points  [predicted:  RateBook ; correct:  BookRestaurant ]
party of six this week in Oman  [predicted:  GetWeather ; correct:  BookRestaurant ]
Search for TERA: The Exiled Realm of Arborea  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is Crime and Punishment U.S.A. showing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
Find time for All About Hash  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find The Sentimental Bloke novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Search for the Abel Sánchez: The History of a Passion novel  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you locate The Crucible of Man: Something Wicked Part 2 novel?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Is Mentioned in Confidence at the cinema  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Please search for Willy and the Poor Boys song.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What are the Mann Theatres showtimes for Secret Sunshine  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  GetWeather ; correct:  PlayMusic ]
where is The Yellow Star: The Persecution of the Jews in Europe 1933-45 playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I find Paranormal Activity 3 playing near me 1 hour from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Can you let me know when Troopers Three is scheduled?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What time could I see A Mile in His Shoes?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
where can i watch Willy Wonka & the Chocolate Factory  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Can You tell me the Actors of the saga awards/  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When is Scaramouche playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Day of the Beast playing at three p.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to listen to the song Shamus  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play song Softly  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What films are at National Amusements  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to eat at the Original Spanish Kitchen in North Carolina  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
