Find me a soundtrack by Ghost Town Prophecy  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to put duett onto my hot country playlist.  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
When and where is Nefertiti, Queen of the Nile playing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Bride  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find Returned to Your Mind.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Many Loves of Dobie Gillis  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Drowning with Land in Sight.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add david axelrod to my Futuros Hits list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Apple Address Book television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
For playlist todo latino add Absolutely Sweet Marie  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Would you put hammer onto the lunch playlist?  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Was there rainfall last mar. in Greenbrier Egypt?  [predicted:  PlayMusic ; correct:  GetWeather ]
add bad news to highway 61 playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
fimd Glory  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Ik Tara to laundry playlst  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find me Shack Out on 101  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Sarah Vaughan to the spa treatment playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Four Songs  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Cartel Vol. 2 novel  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Nightbirds on Nantucket soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Rate Making Sense of Marx 2 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Show the Put Yourself in His Place game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Love, Marilyn playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Check which cinema currently runs When the Last Sword is Drawn.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find The Boys in the Band.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book Tun Tavern for morning in Norfolk Island  [predicted:  GetWeather ; correct:  BookRestaurant ]
Add Shangri-La to the African Heat playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can i see Love Me Tonight  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch The Shamrock Handicap right now  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show creative soundtrack Pitch Black Brigade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show The Late Great Townes Van Zandt  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add hold my liquor to electroNOW  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add willie nelson live to my Acoustic Blues playlsit  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the Hopeless Romantic photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I see animated movies that's nearby?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is The Kiss playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Book Georgetown Cupcake in Keller for tea time.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Gimme movie times.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find an art called Cassidy.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When is Fine, Totally Fine playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
forecast for Guatemala  [predicted:  PlayMusic ; correct:  GetWeather ]
Circle of Iron in the closet cinema  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add young maylay to Club Hits  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I need a novel about Polymer Chemistry.  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Lets go far to The Wolseley in Maine  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Find Pursuit of Radical Rhapsody  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Doggy Day School, an album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Download The Red Eagle TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book this week for their step sister's workplace close  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Is The Little Irish Girl playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where is White Bim Black Ear  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Rate A Faint Cold Fear  0 points  [predicted:  PlayMusic ; correct:  RateBook ]
Give The Phantom Ship a zero.  [predicted:  PlayMusic ; correct:  RateBook ]
Is Winged Victory showing anywhere in one minute?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Find the movie Splendor in the Grass  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show The Taste  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
search for Space on My Hands  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add gina schock to workout twerkout  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Runaljod gap var Ginnunga to ashlee's playlist titled forever country  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Find The New Legend of Shaolin video game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Then We Came to the End  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show Angels of Iron television show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need to know when Sensation in Morgan’s Creek is playing  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Is this film going to be at Malco Theatres?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Look for Conducting from the Grave  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I see the upcoming movie schedule?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add best of uetoaya to Wild Country  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Proudly She Marches playing anywhere?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add monsters this is prince playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Find Head Start  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Ernie Hawkins to the Dubstep playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the Cabin Fever 2: Spring Fever saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What AMC Theaters is The Red Dance playing at?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find At This Point in Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
forecast for Addo-Elefanten-Nationalpark  [predicted:  PlayMusic ; correct:  GetWeather ]
add gn to night vibes  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book a Ukraine pub serves mineiro  [predicted:  PlayMusic ; correct:  BookRestaurant ]
I would like to hear lastfm play journey.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
add Koichi Sugiyama to WHM  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is My Own True Love playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Sunday Express Live to workout playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is The Love Guru playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Go to After Dusk They Come  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add Kevin Ridel to instrumental madness  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Blood and Bones  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
When will WI be temperate?  [predicted:  PlayMusic ; correct:  GetWeather ]
Give Double Persephone series two stars  [predicted:  PlayMusic ; correct:  RateBook ]
Show Acta Mathematicae Applicatae Sinica TV show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Put the Love Hurts track onto carmen's playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add No Secrets to power gaming playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When and where can I watch National Priority?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
weather at Stanford at six am  [predicted:  PlayMusic ; correct:  GetWeather ]
Which Cinemark Theatres is playing A Is for Atom?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Weather in Grey Eagle on Feb. fifteenth, 2034  [predicted:  PlayMusic ; correct:  GetWeather ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the AMC Theaters movie schedule?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play my Frescura Indie playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
weather for MA in the morning  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Looking for novel Build Engine  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book the Slippery Noodle Inn in Gober.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
can we expect cold and freezing conditions in Glacier-Nationalpark  [predicted:  PlayMusic ; correct:  GetWeather ]
add billy strayhorn to my highway 61 playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
help me the find the Thug Lordz Trilogy book  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find the movie CURL  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
show creative book named Pencil Thin Mustache  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
put Sungmin into my summer playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find the App Store  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add some martine mccutcheon to my original columbia jazzmasters list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want more francis healy in the Rockin' Vibes playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add warpaint in my Pre-Party list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Let's hear stuff from Andrew Hewitt.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
weather in Tioga Colorado  [predicted:  PlayMusic ; correct:  GetWeather ]
give a 5 to A Picture of Her Tombstone  [predicted:  SearchCreativeWork ; correct:  RateBook ]
Add Venetian Snares onto the atmospheric calm playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Storm Warning playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
restaurant named The Palm in Tennyson MI  [predicted:  PlayMusic ; correct:  BookRestaurant ]
ad Czarna dziewczyna to instrumental madness playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
give me some Hank Shermann from 1975 on Lastfm  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
add enduser song in grime instrumentals  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I would like to put taylor dayne on the pop 4 kids list  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
add Embryo to lessie's hands up  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
restaurant in Bulgaria this week party for 9 numbers  [predicted:  PlayMusic ; correct:  BookRestaurant ]
add doing all right to string theory  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book in Falkland Islands at Atomic Cafe  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'm looking for the last track by Fei Yu Ching from the fourties  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show Nightcall  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I get movie schedule  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is Short of Love playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Get soundtrack of Comprehensive Knowledge Archive Network  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Chained Heat  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Baby Workout  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Creeper.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add banking violence and the inner life today to my retro gaming playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add Maria Magdalena to my poetry in their own voices playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is Love and Other Troubles playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
When and where is Invitation to the Waltz playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille  [predicted:  GetWeather ; correct:  BookRestaurant ]
book in OH in Gurabo for velma and gloria  [predicted:  PlayMusic ; correct:  BookRestaurant ]
show Thousand Miles movie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see Joy of Learning?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to go to Douglas Theatre Company to see In Beaver Valley, what times will this be playing?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
find the movie Take Another Picture  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Add Baby Lemonade to poetry in their own voices  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me the movie Purple Heart Diary.  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where is Road to the Stage playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is Sheikh Chilli playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play my Éxitos España playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
weather for five am in Osyka Bhutan  [predicted:  PlayMusic ; correct:  GetWeather ]
Look for Summer with Monika  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is there hail forecast for Hale Center on 7/22/2030?  [predicted:  PlayMusic ; correct:  GetWeather ]
Rate Wielding a Red Sword 0 stars  [predicted:  PlayMusic ; correct:  RateBook ]
Wish to hear the album Since I Saw You Last  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Get Jump Down painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add nina hagen to essential folk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
rate The Descendants two points  [predicted:  PlayMusic ; correct:  RateBook ]
add dave carpenter to my Acoustic Blues playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Add Los Hombres Calientes Volume 3 New Congo Square to my descanso infinito playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Fox Theatres with The Caretaker  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Put Lo mejor de Radio 3 on in the background  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Is Fast and Loose playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add rmx works from cyber trance presents ayu trance 3 to judy's Sophisticated Dinner playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate All That Remains a five  [predicted:  PlayMusic ; correct:  RateBook ]
Show me KurdishMedia.com  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Valentyne Suite  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Tortured Man  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Lure of the Mask song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to find out when Midnight Club is playing  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Blind Company  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
does Mexican Werewolf start at three am  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate The Bell Curve a three.  [predicted:  PlayMusic ; correct:  RateBook ]
give me some Last Emperor  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Find The Black Girl in Search of God trailer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Show me the movie Sonic Triple Trouble  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Lost in Space  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What Howards End cinema is near?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Weather for Burr  [predicted:  PlayMusic ; correct:  GetWeather ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Show An Actress for the newest album.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is Dummy playing at two a.m.?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add Joelia Savitsjeva in 88 keys  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me Born in America?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What type of movie  is Houston Press?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Forecast for Econfina  [predicted:  PlayMusic ; correct:  GetWeather ]
add The Game to 80'S PARTY  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Weather for Carlisle Gardens AS  [predicted:  PlayMusic ; correct:  GetWeather ]
add rob tyner to betsy's We Everywhere  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add bill evans to the Motivation Mix playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When does Fire and Ice: The Winter War of Finland and Russia television show air?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add September to winter music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add dan the automator to forever country  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Stays in Mexico.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is there snowstorm in LA?  [predicted:  PlayMusic ; correct:  GetWeather ]
find Remedial Chaos Theory, a soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add geminism to power workout list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find The Flying Scotsman  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Give The Game of Silence 3 points  [predicted:  PlayMusic ; correct:  RateBook ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I would like to see The Heart of a Siren in my movie house  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Weather in Witt october twenty-sixth  [predicted:  PlayMusic ; correct:  GetWeather ]
Where is Shake Your Powder Puff playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Trauma Center: New Blood, an album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find The Ghost of Tom Joad  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add jan smit in endorphin rush  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
add Hello Central, Give Me Heaven to Indie Pop  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
find Dipson Theatres with Swiss Army Man at 8 p.m.  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
add this MakSim tune to Trad Folk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
weather on september 14 in Crofton Ukraine  [predicted:  PlayMusic ; correct:  GetWeather ]
Find The Path to Power.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Steve Jordan to inez's tgif  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What's today's movie schedule  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
show creative album Heredity  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add Nana Kitade to my modern psychedelia playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
When is Brick showing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Put gregory douglass in Halloween Teens please  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Add christopher lawrence to my Always Pop Punk playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Do you know of a song by the Mande Studies Association?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show the Mickey Mouse photograph  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find Later That Evening  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is AMC Theaters showing Crime on the Hill?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
add spanish castle magic to Daily Lift  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Where can I watch The Sword of Ali Baba at two p.m.?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Firehouse to my acoustic soul list.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
warmer condition in Haiti, South Otselic  [predicted:  PlayMusic ; correct:  GetWeather ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find the Another Ticket game  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'm looking for a movement by Asim Brkan that's on Netflix best channel  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Where can I see Young Goethe in Love?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Berlin to the Samba Beat  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show The Kindness of Women picture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add i dreamt of a dragon to my Futuros Hits playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want If I Could Be with You added to mellow dinner  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Where is Priorities on Parade playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Good Night, and Good Luck at a Cinemark Theatres  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Put something by Noah Wuv Bernardo on my Humor playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
book at Dutchess Manor in Portugal for 6  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Is there any way to see Tailspin Tommy in the Great Air Mystery  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Rate Equal Affections one points  [predicted:  PlayMusic ; correct:  RateBook ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
move Josiah Leming to te quiero list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Add Driven to Tears to the viral semanal playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is the Read All About It picture?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Weather in Park Layne  [predicted:  PlayMusic ; correct:  GetWeather ]
What's the cloud forecast now for Sierra Leone?  [predicted:  PlayMusic ; correct:  GetWeather ]
find Quiet Night In  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add women of metal to Odetta Holmes  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find LaserLight.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Nightwork soundtrack download  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Bernardsville?  [predicted:  PlayMusic ; correct:  GetWeather ]
Book a maharashtrian restaurant please.  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find Welcome to the El-Palacio, a movie  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
I want Sugarfoot  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find movie titled Triumph of the Spirit  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Nichiren to Mōko Daishūrai playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Attack Surface Analyzer, a painting  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When will So Happy Together begin playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I need to know what theatre is playing A Happy Coersion  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Weather for nearby Roselle  [predicted:  PlayMusic ; correct:  GetWeather ]
Find Captain Kronos - Vampire Hunter.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Include love love love in the Dinner Music playlist.  [predicted:  RateBook ; correct:  AddToPlaylist ]
add Paloma negra to my Funky Jams list  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Show me Dombey and Son movies.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Cinemark Theatres with films  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
When is Robotix playing?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Add Quicksand to my valentine's day love playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
where is No Sleep til Shanghai showing in three hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
humidity in Netawaka WI  [predicted:  PlayMusic ; correct:  GetWeather ]
book a masala bar on march 6, 2034  [predicted:  PlayMusic ; correct:  BookRestaurant ]
find the movie Don’t Break the Heart That Loves You  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to hear the song Impractical Jokers UK  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I watch Gaddar: The Traitor?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
add vl mike to my Dcode2016 playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Please find me the movies playing nearby  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Add Blue Feather to the Nature Noise playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Return to Krondor.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate Notable American Women a 3 star  [predicted:  PlayMusic ; correct:  RateBook ]
find The Branded Woman  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to see The Da Vinci Code  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Rate The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves series 2 points  [predicted:  PlayMusic ; correct:  RateBook ]
What are them movie times  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find The Way West show  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
add sonntag to my Assassin's Creed  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Rate The Fall-Down Artist 5 stars.  [predicted:  PlayMusic ; correct:  RateBook ]
Add Progress to my clásica para todos playlist.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Use Youtube to play the soundtrack from Manos Hadzidakis.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Andreas Hofer at elevenses  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Play me an album by Lunchbox  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Add On with the Show to my Beast Mode playlist  [predicted:  GetWeather ; correct:  AddToPlaylist ]
