Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
what movie is at Loews Cineplex Entertainment  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
How will be the weather in Waltersville in one hour ?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What is the forecast this evening for the Calipuy National Reservation  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Check the weather forecast in seven weeks for Emida.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where can I buy a hardcover copy of the book The Intangibles of Leadership?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to book a restaurantin Perrytown Missouri for candice, jeannie and nichole.  [predicted:  GetWeather ; correct:  BookRestaurant ]
fimd Glory  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like to see the current showtimes for His Kind of Woman  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Tell me the current forecast for Switzerland  [predicted:  RateBook ; correct:  GetWeather ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
me and my niece want to eat somewhere close by Hopatcong  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Let me know when I can watch Actrices.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Shoe me the forecast for Bonaire this Fall  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please find the work titled Talking to Heaven  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What weather will it be in Battlement Mesa?  [predicted:  PlayMusic ; correct:  GetWeather ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to see Far Cry Vengeance  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Where the Sky Meets the Land time playing  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Make me a reservation within walking distance in WY for 6 pm  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
What are the timings for Starship Troopers 2?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  RateBook ; correct:  SearchCreativeWork ]
I want to book a restaurant in Tunisia for nelda, rae and I at 01:55:48 p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the forecast on 12/9/2039 at Florida Caverns State Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Find the work Compiled fragments 1997-2003  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Wish to hear the album Since I Saw You Last  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
my té para tres needs Brave and Crazy added on.  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I am looking for The Complete Fillmore East Concerts  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Book a reservation for a party of 6 at The Waterside Inn  [predicted:  RateBook ; correct:  BookRestaurant ]
book Tun Tavern for morning in Norfolk Island  [predicted:  RateBook ; correct:  BookRestaurant ]
play the song S.F. sound furniture  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for The Lord of the Rings: Conquest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me the Dresden weather forecast.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please give me the weather for Federated States Of Micronesia.  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
how's the forecast looking for supper time in Dresbach Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather supposed to be like in New Jersey three months from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need weather forecast for Stacy in Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can you give me the weather for here  [predicted:  PlayMusic ; correct:  GetWeather ]
I'd like to listen to the song The Natural Farmer  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Aviation Cocktail album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to Attack of the Planet Smashers  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What song is Detective Conan: Dimensional Sniper  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
weather forecast of Lakebay  [predicted:  PlayMusic ; correct:  GetWeather ]
When and where can I watch National Priority?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Is The Butcher Boy playing anywhere at supper time?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Help me find the work titled SingStar Take That  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
is there a Chinese Wikipedia  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
What was the weather like last may at Altai Tavan Bogd National Park  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Tell me where I can watch Common Law Cabin  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What is the television show Phil Ochs: There but for Fortune playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Is Proudly She Marches playing anywhere?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What is the expected weather forecast for Beckley?  [predicted:  PlayMusic ; correct:  GetWeather ]
What will the temperature be at midnight in NE  [predicted:  BookRestaurant ; correct:  GetWeather ]
What's the weather look like for MH  [predicted:  BookRestaurant ; correct:  GetWeather ]
when this evening is Casa Amor: Exclusive for Ladies playing and where  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Whens the next showing of The Game of Their Lives  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
how's the weather going to be at fourteen o'clock in Falkland Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Buy novel Brokeback Mountain  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Go to Your Heart Belongs to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's the weather going to be in 7 hours in FM  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'm looking for you to get me Jack of Shadows.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Lost in Space  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Tell me what the weather will look like here at 01:50  [predicted:  PlayMusic ; correct:  GetWeather ]
need to book a table in Ludden  [predicted:  PlayMusic ; correct:  BookRestaurant ]
Will the weather be okay in Northern Luzon Heroes Hill National Park 4 and a half months from now?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Is it nice in PW  [predicted:  BookRestaurant ; correct:  GetWeather ]
Go to After Dusk They Come  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book at Dutchess Manor in Portugal for 6  [predicted:  RateBook ; correct:  BookRestaurant ]
read the Background to Danger book  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Play The Crowd: A Study of the Popular Mind soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I am looking for Shoot Me Down  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
play Off the Ground  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What's the weather forecast for the area neighboring KS this autumn?  [predicted:  BookRestaurant ; correct:  GetWeather ]
When and where can I see A Film with Me in It  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What will the weather forecast be during the Kent State Shootings Remembrance in El Cocuy National Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
when is sunrise in AMerican Samoa  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Need a reservation close-by East Hanover.  [predicted:  GetWeather ; correct:  BookRestaurant ]
How will the weather be different 5 years from now in Waconia?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where is Winterheart’s Guild  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want Sugarfoot  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
gwen carter and I want a reservation in the Dominican Republic  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Berlin to the Samba Beat  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find a work with the name of Come Sing  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see weather conditions for Ennis.  [predicted:  PlayMusic ; correct:  GetWeather ]
Read The Open Ecology Journal  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Is there any creative work for Heterocycles?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where and at what time can I see Paragraphe 78  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Please tell me the forecast for here  [predicted:  PlayMusic ; correct:  GetWeather ]
I'd like to see Forgetting the Girl.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plau me the song The French Chef  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Show me Dangers of the Canadian Mounted  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it better in Holi or here  [predicted:  PlayMusic ; correct:  GetWeather ]
Where theater is playing The Ranger and the Lady at 10 AM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
play The Catholic Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Book spot at Fried chicken restaurant in Mauritania  [predicted:  GetWeather ; correct:  BookRestaurant ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3002 / 3140  ( 0.9560509554140127 )
What theater is playing Haunted Honeymoon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Reserve a table in Top of the Mark Lambertville, Vermont.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need a reservation in Pitcairn Islands for any restaurant  joint  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
me and katharine would like to go eat at Jan. 22nd in IA  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need a reservation close-by East Hanover.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to get seats for me and my ex wife to eat in Egypt.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where and when can I see The Image Makers  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a table at somewhere within walking distance of NV on november the 24th, 2027  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play the music Hands Up  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I wanna listen to Electroclash  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Play music from my relentless playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Plpay my Disco Fever playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find information about the album Flipper City  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
find Hear Me Good  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Please play me something by New Wave Of American Heavy Metal  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
give me a list showtimes for The Night of Taneyamagahara  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play music from the playlist Get Your Mind Right  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Give me a weather forecast for CA  [predicted:  BookRestaurant ; correct:  GetWeather ]
I need a table for a party of 2 at Co-operative Block Building in Old Glory  [predicted:  RateBook ; correct:  BookRestaurant ]
need to book a table in Ludden  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
in two hundred forty eight days  what will MP weather be like  [predicted:  BookRestaurant ; correct:  GetWeather ]
Please make a booking at Sonoy in Montague, LA.  [predicted:  GetWeather ; correct:  BookRestaurant ]
When can I catch a screening of Shivers in Summer?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Go to my all out 00s and add brian wilson  [predicted:  SearchCreativeWork ; correct:  AddToPlaylist ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
book spot at Candle Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
Let's hear stuff from Andrew Hewitt.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Half a Truth  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When is the next showing of Star Wars: The Clone Wars?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Is it going to be nice in Sandoval Belgium  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to be Main Deli Steak House near Hendley.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to book a restaurant in Tunisia for nelda, rae and I at 01:55:48 p.m.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear anything from the Rock Symphonique genre please.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
What are the current showtimes for Love Fiction?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Let's listen to Matthew Shipp.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play used to love her to my this is animal collective playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to book a restaurantin Perrytown Missouri for candice, jeannie and nichole.  [predicted:  GetWeather ; correct:  BookRestaurant ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the music from the playlist Get Lit  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What theater is playing Death Drums Along the River at 5 PM  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
matt monro newest album add to my chill out music  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Belgium located  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Book a reservation for a party of 6 at The Waterside Inn  [predicted:  RateBook ; correct:  BookRestaurant ]
What is the weather like in the city of Frewen in the country of Venezuela  [predicted:  BookRestaurant ; correct:  GetWeather ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Search The Olympic Champ book.  [predicted:  RateBook ; correct:  SearchCreativeWork ]
Book spot at Fried chicken restaurant in Mauritania  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to hear my Entre los Andes playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
When is sunrise for AR  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
find Set the Thames on Fire for seventeen  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
For the Classic Road Trip Songs add the entity unwelcome  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
Put What Color Is Your Sky by Alana Davis on the stereo.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play Suus to my the funny thing about football is playlist  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Careless Love  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Give me the weather forecast for the city of Archie  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
i want a table in one week at Glen Arm for esmeralda, andrea and I  [predicted:  GetWeather ; correct:  BookRestaurant ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find start time in 12 seconds for National Bomb  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
is there a program about The Last Flight?  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Can you please find me D.R.E.A.M.?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play songs by Queen  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Give me the weather forecast for the city of Woburn  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
book The Lake House for me and carmella  [predicted:  RateBook ; correct:  BookRestaurant ]
Start playing my Disney playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
for my té para tres list add cut the world  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Disco Tango to Power Walk  [predicted:  PlayMusic ; correct:  AddToPlaylist ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to hear the new Latin Pop Rising list  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Heat Wave  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play me something by Funtwo  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the price for the album Praise the Lord and Pass the Ammunition?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need to see Mother Joan of the Angels in one second.  [predicted:  BookRestaurant ; correct:  SearchScreeningEvent ]
Will it be nice in Reager MP  [predicted:  BookRestaurant ; correct:  GetWeather ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
casey and I will be in Kentucky for food  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play my Black Sabbath: The Dio Years playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I would like to make a reservation for 2 for brunch.  [predicted:  RateBook ; correct:  BookRestaurant ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find On Dress Parade  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant reservation for me and my child for 2 Pm in Faysville  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is Dear Old Girl Cooper Foundation  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to hear something from Post-punk Revival  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
book Main Deli Steak House on february 13 in Serbia and Montenegro  [predicted:  RateBook ; correct:  BookRestaurant ]
Play something from my Songs For You, Not Your Parents playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find Naomi & Wynonna: Love Can Build a Bridge  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
SCORE:  3047 / 3140  ( 0.9703821656050955 )
I need a SOUNDTRACK FOR STUDY purposes.  [predicted:  BookRestaurant ; correct:  PlayMusic ]
Book a restasurant in Pohick Delaware.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Find the weather prediction for Camdeboo-Nationalpark for jan. eleventh, 2037.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play the Vic Damone album named Tuonela  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play my De Camino playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What will the temperature be at midnight in NE  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'm looking to book a reservation in Aruba at a place nearby.  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
check the weather for around nine in South Georgia and the South Sandwich Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
What song is Detective Conan: Dimensional Sniper  [predicted:  AddToPlaylist ; correct:  SearchCreativeWork ]
What is the weather forecast in the country of Chile fifteen hours from now  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where is Bernardsville?  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
Play music from artist Ashley  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I would like to book a reservation for kaitlin and I at Lone Star Cafe  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to hear from Pepe Marchena song Delaware  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the last Wellman Braud album relaesd  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a reservation at Sunset in Frye Island  [predicted:  GetWeather ; correct:  BookRestaurant ]
rebekah taylor and marcie need reservations at The Clink in Senegal.  [predicted:  GetWeather ; correct:  BookRestaurant ]
Need a booking for 6 in OK for the city of Boonton  [predicted:  RateBook ; correct:  BookRestaurant ]
Can you get a table at The Triple Door in District Of Columbia for me and deborah vasquez  [predicted:  GetWeather ; correct:  BookRestaurant ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book a table for a party of 6  [predicted:  RateBook ; correct:  BookRestaurant ]
Could you play the album B Men Gahō by Nathaniel Shilkret  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
What is the weather prediction for Acworth, North Korea in six years  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play music from the playlist Get Your Mind Right  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Tell me the weather forecast close by Brown County State Park for meal time  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
I want to eat somewhere that is faraway from Iowa.  [predicted:  GetWeather ; correct:  BookRestaurant ]
please book a room in Spaghetti Warehouse for catalina, delores and brandie mendoza at 12 AM  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
I'd like a reservation for Thornbury Castle three hours from now in NM.  [predicted:  GetWeather ; correct:  BookRestaurant ]
I need to book a reservation in Searsport at eleven am  [predicted:  SearchScreeningEvent ; correct:  BookRestaurant ]
Book a table somewhere in Dominica for 2 minutes from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
what will the weather be for Hooksett  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to hear music from the genre Ecossaise  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
how's the weather going to be at fourteen o'clock in Falkland Islands  [predicted:  BookRestaurant ; correct:  GetWeather ]
Show me the Dresden weather forecast.  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
need a table now somewhere nearby Petit Manan National Wildlife Refuge  [predicted:  BookRestaurant ; correct:  GetWeather ]
how's the forecast looking for supper time in Dresbach Vanuatu  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Trapeo playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my Still Got the Blues playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play an album from 1987  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play me the dinner playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Please play me Jerry Lee Lewis's If You Say So track.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to see weather conditions for Ennis.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is the weather forecast going to be on august 15, 2038 for Hoffman Hills State Recreation Area?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What will be the forecast for Belarus in the future around sep. the 22nd, 2020?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
What's the weather supposed to be like in Elmer City  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
I'd like the weather forecast in Gang Mills four years from now.  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play my Women of Rock playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Book a reservation at a restaraunt in CT  [predicted:  GetWeather ; correct:  BookRestaurant ]
Play something from the genre muzyka pop  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Will you play my Nuestros 80 playlist  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start up my Independent Music Monday playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play my springtime playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table somewhere in Culver City WA  [predicted:  GetWeather ; correct:  BookRestaurant ]
I want to eat in Ramona  [predicted:  GetWeather ; correct:  BookRestaurant ]
Where can I read the book The Omega Stone?  [predicted:  RateBook ; correct:  SearchCreativeWork ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
book spot in Lebanon for ten weeks from now  [predicted:  GetWeather ; correct:  BookRestaurant ]
book Guenther House for 6 on Oct. 24, 2035 in Waddy  [predicted:  RateBook ; correct:  BookRestaurant ]
Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby  [predicted:  GetWeather ; correct:  BookRestaurant ]
Start blasting my Latin Jazz playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Play the music Hands Up  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
At 8 AM I want to eat at The Rosebud in the Federated States Of Micronesia  [predicted:  GetWeather ; correct:  BookRestaurant ]
What is the predicted weather on mar. 27 for Farragut State Park?  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Need table for two in Pleasant City  [predicted:  RateBook ; correct:  BookRestaurant ]
find and book a table in WV  [predicted:  GetWeather ; correct:  BookRestaurant ]
Will it feel nice here or within the same area  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the weather looking like for December the eleventh, 2034 in MD  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play my Under The Surface playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
