Novo pacote  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
sai  [predicted:  get ; correct:  cancel ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Quero cadastrar  [predicted:  get ; correct:  add ]
SCORE:  12 / 30  ( 0.4 )
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Entrega  [predicted:  help ; correct:  get ]
Eu quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Gostaria de retirar uma encomenda  [predicted:  help ; correct:  delete ]
tchau  [predicted:  help ; correct:  bye ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Código  [predicted:  help ; correct:  get ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
sair  [predicted:  get ; correct:  cancel ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
Gostaria de retirar  [predicted:  help ; correct:  delete ]
Encomenda  [predicted:  help ; correct:  get ]
tenha um bom dia  [predicted:  help ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Quero cadastrar  [predicted:  help ; correct:  add ]
SCORE:  13 / 30  ( 0.43333333333333335 )
parar  [predicted:  get ; correct:  cancel ]
Burro  [predicted:  get ; correct:  bad ]
Cadastro de código  [predicted:  help ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Cadastro  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
bom dia  [predicted:  get ; correct:  greeting ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Ótimo!  [predicted:  get ; correct:  ok ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
boa tarde  [predicted:  get ; correct:  greeting ]
Até logo  [predicted:  get ; correct:  bye ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
boa noite  [predicted:  get ; correct:  greeting ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar  [predicted:  help ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Quero cadastrar  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
Até mais  [predicted:  get ; correct:  bye ]
Como eu faço?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Até logo  [predicted:  get ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
para  [predicted:  get ; correct:  cancel ]
SCORE:  7 / 30  ( 0.23333333333333334 )
parar  [predicted:  get ; correct:  cancel ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  help ; correct:  add ]
Obrigada  [predicted:  help ; correct:  thanks ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Quero cadastrar um código de rastreio  [predicted:  help ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Ajuda  [predicted:  get ; correct:  help ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Não  [predicted:  help ; correct:  cancel ]
Beleza  [predicted:  get ; correct:  ok ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Apagar  [predicted:  help ; correct:  delete ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Novo pacote  [predicted:  get ; correct:  add ]
oi  [predicted:  get ; correct:  welcome ]
Novo  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  help ; correct:  thanks ]
para  [predicted:  get ; correct:  cancel ]
Obrigado  [predicted:  get ; correct:  thanks ]
Meus objetos  [predicted:  help ; correct:  get ]
SCORE:  5 / 30  ( 0.16666666666666666 )
Novo pacote  [predicted:  get ; correct:  add ]
o que eu devo fazer?  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
Informação  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
deletar  [predicted:  get ; correct:  delete ]
Não  [predicted:  get ; correct:  cancel ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
boa noite  [predicted:  get ; correct:  greeting ]
Novo  [predicted:  get ; correct:  add ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
boa tarde  [predicted:  help ; correct:  greeting ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Tudo bem  [predicted:  get ; correct:  ok ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Como?  [predicted:  get ; correct:  help ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
adeus  [predicted:  get ; correct:  bye ]
adicionar objeto  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Cadastrar  [predicted:  get ; correct:  add ]
Como cadastra?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Burro  [predicted:  get ; correct:  bad ]
boa tarde  [predicted:  get ; correct:  greeting ]
bom dia  [predicted:  get ; correct:  greeting ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
boa noite  [predicted:  help ; correct:  greeting ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Como eu faço?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Olá robô  [predicted:  get ; correct:  welcome ]
Como você funciona  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Tudo bem, tchau  [predicted:  add ; correct:  bye ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Posso cadastrar encomendas de outros países?  [predicted:  add ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
bom dia  [predicted:  get ; correct:  greeting ]
Como faço para cadastrar uma encomenda?  [predicted:  add ; correct:  help ]
SCORE:  12 / 30  ( 0.4 )
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Olá  [predicted:  get ; correct:  welcome ]
Olá robô  [predicted:  get ; correct:  welcome ]
boa tarde  [predicted:  get ; correct:  greeting ]
boa noite  [predicted:  get ; correct:  greeting ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Qual o seu nome ?  [predicted:  get ; correct:  saymyname ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
para  [predicted:  get ; correct:  cancel ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Qual seu nome ?  [predicted:  get ; correct:  saymyname ]
ok  [predicted:  get ; correct:  ok ]
parar  [predicted:  get ; correct:  cancel ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  3 / 30  ( 0.1 )
Remover  [predicted:  get ; correct:  delete ]
quem é você?  [predicted:  get ; correct:  saymyname ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Quero cadastrar  [predicted:  get ; correct:  add ]
Olá robô  [predicted:  get ; correct:  welcome ]
Como funciona  [predicted:  get ; correct:  help ]
como pode me ajudar  [predicted:  get ; correct:  help ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
sai  [predicted:  get ; correct:  cancel ]
Olá  [predicted:  get ; correct:  welcome ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro?  [predicted:  get ; correct:  help ]
Retirar  [predicted:  get ; correct:  delete ]
ok  [predicted:  get ; correct:  ok ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como cadastra?  [predicted:  get ; correct:  help ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Onde aparece esse código de 13 dígitos?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
Listar comandos  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como?  [predicted:  get ; correct:  help ]
SCORE:  17 / 30  ( 0.5666666666666667 )
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Como funciona  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
como pode me ajudar  [predicted:  get ; correct:  help ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
caralho  [predicted:  get ; correct:  bad ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
cancelar  [predicted:  get ; correct:  cancel ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
deletar  [predicted:  get ; correct:  delete ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
cancela  [predicted:  get ; correct:  cancel ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como cadastra?  [predicted:  get ; correct:  help ]
Burro  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  help ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
oi  [predicted:  help ; correct:  welcome ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Registrar  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Como?  [predicted:  get ; correct:  help ]
Como cadastro?  [predicted:  get ; correct:  help ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
SCORE:  13 / 30  ( 0.43333333333333335 )
cadê  [predicted:  help ; correct:  get ]
cadê minha encomenda  [predicted:  help ; correct:  get ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Remover  [predicted:  help ; correct:  delete ]
Onde esta a minha encomenda  [predicted:  help ; correct:  get ]
cancela  [predicted:  help ; correct:  cancel ]
Queria saber onde está minha encomenda  [predicted:  help ; correct:  get ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Meus itens  [predicted:  help ; correct:  get ]
sai  [predicted:  help ; correct:  cancel ]
Já se moveu?  [predicted:  help ; correct:  get ]
cancelar  [predicted:  help ; correct:  cancel ]
quem é você?  [predicted:  help ; correct:  saymyname ]
caralho  [predicted:  help ; correct:  bad ]
Você não é um robô, você é uma bichona  [predicted:  help ; correct:  bad ]
Cadastrar uma nova encomenda  [predicted:  help ; correct:  add ]
onde está minha encomenda?  [predicted:  help ; correct:  get ]
Retirar  [predicted:  help ; correct:  delete ]
SCORE:  10 / 30  ( 0.3333333333333333 )
Como cadastro?  [predicted:  get ; correct:  help ]
Como cadastro minha encomenda?  [predicted:  get ; correct:  help ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como funciona  [predicted:  get ; correct:  help ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
parar  [predicted:  get ; correct:  cancel ]
Olá robô  [predicted:  get ; correct:  welcome ]
Como cadastra?  [predicted:  get ; correct:  help ]
boa noite  [predicted:  get ; correct:  greeting ]
Quero fazer um rastreamento  [predicted:  add ; correct:  get ]
Como cadastro uma encomenda?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
para  [predicted:  get ; correct:  cancel ]
Olá  [predicted:  get ; correct:  welcome ]
Como?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
boa tarde  [predicted:  get ; correct:  greeting ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
SCORE:  6 / 30  ( 0.2 )
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
O que você sabe fazer ?  [predicted:  get ; correct:  help ]
Até mais  [predicted:  get ; correct:  bye ]
Remover  [predicted:  get ; correct:  delete ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Registrar  [predicted:  get ; correct:  add ]
pacote  [predicted:  get ; correct:  add ]
descadastrar  [predicted:  get ; correct:  delete ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Ótimo!  [predicted:  get ; correct:  ok ]
parar  [predicted:  get ; correct:  cancel ]
deletar  [predicted:  get ; correct:  delete ]
Retirar  [predicted:  get ; correct:  delete ]
para  [predicted:  get ; correct:  cancel ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
sai  [predicted:  get ; correct:  cancel ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
SCORE:  8 / 30  ( 0.26666666666666666 )
Listar comandos  [predicted:  get ; correct:  help ]
Cadastro  [predicted:  get ; correct:  add ]
Obrigada  [predicted:  get ; correct:  thanks ]
Quais encomenda você rastreia  [predicted:  get ; correct:  help ]
Você pode me explicar como cadastrar?  [predicted:  get ; correct:  help ]
oi  [predicted:  get ; correct:  welcome ]
Olá robô  [predicted:  get ; correct:  welcome ]
Como eu faço?  [predicted:  get ; correct:  help ]
Obrigado  [predicted:  get ; correct:  thanks ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Posso cadastrar encomendas de outros países?  [predicted:  get ; correct:  help ]
Me ajuda  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
ok  [predicted:  get ; correct:  ok ]
Olá  [predicted:  get ; correct:  welcome ]
onde eu insiro o código de rastreio?  [predicted:  get ; correct:  help ]
De que vc precisa?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Cadastro de código  [predicted:  get ; correct:  add ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
SCORE:  7 / 30  ( 0.23333333333333334 )
Novo pacote  [predicted:  get ; correct:  add ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Não  [predicted:  get ; correct:  cancel ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Registrar uma encomenda  [predicted:  get ; correct:  add ]
Não possuo encomenda em trânsito  [predicted:  get ; correct:  cancel ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Registrar  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  get ; correct:  add ]
Como eu faço?  [predicted:  get ; correct:  help ]
Novo  [predicted:  get ; correct:  add ]
SCORE:  13 / 30  ( 0.43333333333333335 )
Como cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
como pode me ajudar  [predicted:  get ; correct:  help ]
adeus  [predicted:  get ; correct:  bye ]
Como cadastrar um código  [predicted:  get ; correct:  help ]
adicionar  [predicted:  get ; correct:  add ]
parar  [predicted:  get ; correct:  cancel ]
adicionar objeto  [predicted:  get ; correct:  add ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Até mais  [predicted:  get ; correct:  bye ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Muito obrigada  [predicted:  get ; correct:  thanks ]
Quero cadastrar uma encomenda, pode ser?  [predicted:  get ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Como faço pra cadastrar alguma encomenda?  [predicted:  get ; correct:  help ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
para  [predicted:  get ; correct:  cancel ]
Quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Quero cadastrar um código de rastreio  [predicted:  get ; correct:  add ]
Como funciona  [predicted:  get ; correct:  help ]
Como cadastrar um objeto?  [predicted:  get ; correct:  help ]
Como eu faço?  [predicted:  get ; correct:  help ]
favor cadastrar o codigo de rastreio  [predicted:  get ; correct:  add ]
SCORE:  3 / 30  ( 0.1 )
Gostaria de rastrear um objeto agora  [predicted:  get ; correct:  add ]
Cadastro de código  [predicted:  help ; correct:  add ]
Cadastrar  [predicted:  help ; correct:  add ]
Consulta  [predicted:  help ; correct:  get ]
Como cadastra a encomenda  [predicted:  get ; correct:  help ]
Burro  [predicted:  help ; correct:  bad ]
caralho  [predicted:  get ; correct:  bad ]
Como você funciona  [predicted:  get ; correct:  help ]
Quero registrar uma encomenda  [predicted:  get ; correct:  add ]
Gostaria de fazer um rastreamento  [predicted:  get ; correct:  add ]
cancela  [predicted:  get ; correct:  cancel ]
Cadastrar encomenda  [predicted:  get ; correct:  add ]
Gostaria de fazer um cadastro  [predicted:  help ; correct:  add ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
Cadastrar uma nova encomenda  [predicted:  get ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Como cadastra?  [predicted:  get ; correct:  help ]
Como?  [predicted:  get ; correct:  help ]
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
Cadastro  [predicted:  help ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
cancelar  [predicted:  help ; correct:  cancel ]
SCORE:  7 / 30  ( 0.23333333333333334 )
como voce me atualiza sobre minha encomenda?  [predicted:  get ; correct:  help ]
Como você funciona  [predicted:  get ; correct:  help ]
Gostaria de registrar  [predicted:  get ; correct:  add ]
cancelar  [predicted:  get ; correct:  cancel ]
Como eu faço?  [predicted:  get ; correct:  help ]
Informação  [predicted:  get ; correct:  help ]
Até logo  [predicted:  get ; correct:  bye ]
Até mais  [predicted:  get ; correct:  bye ]
Como faço para cadastrar uma encomenda?  [predicted:  get ; correct:  help ]
caralho  [predicted:  get ; correct:  bad ]
Cadastrar  [predicted:  get ; correct:  add ]
Tudo bem  [predicted:  get ; correct:  ok ]
Como faço para rastrear a encomenda?  [predicted:  get ; correct:  help ]
Você não é um robô, você é uma bichona  [predicted:  get ; correct:  bad ]
Burro  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
SCORE:  12 / 30  ( 0.4 )
Obrigado  [predicted:  get ; correct:  thanks ]
Código  [predicted:  help ; correct:  get ]
Não possuo encomenda em trânsito  [predicted:  help ; correct:  cancel ]
Cadastro de código  [predicted:  help ; correct:  add ]
Cadastro  [predicted:  help ; correct:  add ]
Cadastrar encomenda  [predicted:  help ; correct:  add ]
bom dia  [predicted:  get ; correct:  greeting ]
Checar minhas encomendas  [predicted:  help ; correct:  get ]
oi  [predicted:  help ; correct:  welcome ]
Quero fazer um rastreamento  [predicted:  help ; correct:  get ]
Gostaria de registrar  [predicted:  help ; correct:  add ]
consultar minha encomenda  [predicted:  help ; correct:  get ]
Consultar  [predicted:  help ; correct:  get ]
Gostaria de registrar uma encomenda  [predicted:  get ; correct:  add ]
quem é você?  [predicted:  help ; correct:  saymyname ]
Não  [predicted:  help ; correct:  cancel ]
Burro  [predicted:  help ; correct:  bad ]
gostaria de procurar um objeto  [predicted:  help ; correct:  get ]
Muito obrigado  [predicted:  get ; correct:  thanks ]
Quero cadastrar  [predicted:  help ; correct:  add ]
Cadastrar  [predicted:  help ; correct:  add ]
Obrigada  [predicted:  help ; correct:  thanks ]
SCORE:  8 / 30  ( 0.26666666666666666 )
adicionar  [predicted:  get ; correct:  add ]
ok  [predicted:  get ; correct:  ok ]
parar  [predicted:  get ; correct:  cancel ]
Como sei onde está a minha encomenda?  [predicted:  get ; correct:  help ]
gostaria de cadastrar uma encomenda  [predicted:  get ; correct:  add ]
adicionar objeto  [predicted:  get ; correct:  add ]
palavrão você entende né filho da puta  [predicted:  get ; correct:  bad ]
Olá robô  [predicted:  get ; correct:  welcome ]
Olá  [predicted:  get ; correct:  welcome ]
Até mais  [predicted:  get ; correct:  bye ]
Gostaria de Rastrear um objeto  [predicted:  get ; correct:  add ]
como sou notificado sobre minha encomenda?  [predicted:  get ; correct:  help ]
cancelar  [predicted:  get ; correct:  cancel ]
para  [predicted:  get ; correct:  cancel ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
Boa tarde então  [predicted:  get ; correct:  greeting ]
boa noite  [predicted:  get ; correct:  greeting ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
como sou avisado sobre minha encomenda?  [predicted:  get ; correct:  help ]
Eu quero cadastrar uma encomenda  [predicted:  get ; correct:  add ]
favor cadastrar o codigo de rastreio  [predicted:  help ; correct:  add ]
Até logo  [predicted:  get ; correct:  bye ]
adeus  [predicted:  get ; correct:  bye ]
adicionar um novo pacote  [predicted:  get ; correct:  add ]
caralho  [predicted:  get ; correct:  bad ]
cancela  [predicted:  get ; correct:  cancel ]
boa tarde  [predicted:  get ; correct:  greeting ]
SCORE:  3 / 30  ( 0.1 )
quem é você?  [predicted:  get ; correct:  saymyname ]
Tudo bem, tchau  [predicted:  get ; correct:  bye ]
descadastrar  [predicted:  get ; correct:  delete ]
gostaria de cadastrar uma encomenda  [predicted:  help ; correct:  add ]
Vai tomar no cu  [predicted:  get ; correct:  bad ]
E aí, quais são minhas opções?  [predicted:  get ; correct:  help ]
Gostaria de retirar  [predicted:  get ; correct:  delete ]
