b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  get ; correct:  bad ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'ok'  [predicted:  get ; correct:  ok ]
TIME:  0.19965219497680664
SCORE:  4 / 30  ( 0.13333333333333333 )
b'\xc3\x93timo!'  [predicted:  get ; correct:  ok ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'pacote'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Como?'  [predicted:  get ; correct:  help ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'consultar minha encomenda'  [predicted:  help ; correct:  get ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'Consultar'  [predicted:  help ; correct:  get ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Como cadastra?'  [predicted:  help ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Vai tomar no cu'  [predicted:  help ; correct:  bad ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
TIME:  0.20782113075256348
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  get ; correct:  welcome ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'ok'  [predicted:  get ; correct:  ok ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  get ; correct:  bad ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'parar'  [predicted:  get ; correct:  cancel ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  get ; correct:  welcome ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'para'  [predicted:  get ; correct:  cancel ]
TIME:  0.19801115989685059
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Novo'  [predicted:  get ; correct:  add ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
TIME:  0.19332504272460938
SCORE:  6 / 30  ( 0.2 )
b'Qual seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  get ; correct:  bad ]
b'Todos'  [predicted:  get ; correct:  get ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Todas'  [predicted:  get ; correct:  get ]
b'consultar minha encomenda'  [predicted:  help ; correct:  get ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'cad\xc3\xaa minha encomenda'  [predicted:  help ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  help ; correct:  get ]
b'Qual o seu nome ?'  [predicted:  get ; correct:  saymyname ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'caralho'  [predicted:  get ; correct:  bad ]
b'cancelar'  [predicted:  get ; correct:  cancel ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'cancela'  [predicted:  help ; correct:  cancel ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Tudo bem'  [predicted:  get ; correct:  ok ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
TIME:  0.19578289985656738
SCORE:  9 / 30  ( 0.3 )
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  help ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  help ; correct:  add ]
b'Burro'  [predicted:  get ; correct:  bad ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  get ; correct:  bad ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Listar'  [predicted:  help ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'Como cadastra?'  [predicted:  help ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'Como?'  [predicted:  get ; correct:  help ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'bom dia'  [predicted:  get ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  help ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'deletar'  [predicted:  get ; correct:  delete ]
TIME:  0.21218085289001465
SCORE:  9 / 30  ( 0.3 )
b'Gostaria de retirar'  [predicted:  get ; correct:  delete ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  get ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Novo'  [predicted:  get ; correct:  add ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Novo pacote'  [predicted:  get ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  get ; correct:  help ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  get ; correct:  delete ]
b'Como funciona'  [predicted:  get ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  get ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  get ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
TIME:  0.19721198081970215
SCORE:  4 / 30  ( 0.13333333333333333 )
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Gostaria de Rastrear um objeto'  [predicted:  get ; correct:  add ]
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'favor cadastrar o codigo de rastreio'  [predicted:  get ; correct:  add ]
b'Lista'  [predicted:  get ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'gostaria de cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
TIME:  0.18975329399108887
SCORE:  5 / 30  ( 0.16666666666666666 )
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Como?'  [predicted:  get ; correct:  help ]
b'tenha um bom dia'  [predicted:  help ; correct:  greeting ]
b'Cadastrar encomenda'  [predicted:  get ; correct:  add ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Cadastro'  [predicted:  get ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Gostaria de registrar'  [predicted:  get ; correct:  add ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Entrega'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'Meus itens'  [predicted:  help ; correct:  get ]
b'Encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastra a encomenda'  [predicted:  help ; correct:  help ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Eu quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Rastrear encomenda'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  help ; correct:  get ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  get ; correct:  add ]
b'Como cadastra?'  [predicted:  get ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Rastrear'  [predicted:  get ; correct:  get ]
TIME:  0.1911182403564453
SCORE:  12 / 30  ( 0.4 )
b'parar'  [predicted:  get ; correct:  cancel ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  get ; correct:  cancel ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar'  [predicted:  get ; correct:  delete ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'para'  [predicted:  get ; correct:  cancel ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  get ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  get ; correct:  bad ]
b'J\xc3\xa1 cadastrou?'  [predicted:  get ; correct:  get ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'Quero registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  get ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  get ; correct:  delete ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
TIME:  0.21589016914367676
SCORE:  6 / 30  ( 0.2 )
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'tenha um bom dia'  [predicted:  get ; correct:  greeting ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  get ; correct:  help ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'Obrigado'  [predicted:  get ; correct:  thanks ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'oi'  [predicted:  get ; correct:  welcome ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Como funciona'  [predicted:  get ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
b'como pode me ajudar'  [predicted:  get ; correct:  help ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'tchau'  [predicted:  get ; correct:  bye ]
b'C\xc3\xb3digo'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'sair'  [predicted:  get ; correct:  cancel ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Obrigada'  [predicted:  get ; correct:  thanks ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
TIME:  0.24086809158325195
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Tudo bem, tchau'  [predicted:  get ; correct:  bye ]
b'Me ajuda'  [predicted:  get ; correct:  help ]
b'adicionar um novo pacote'  [predicted:  get ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  get ; correct:  bye ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Como cadastro uma encomenda?'  [predicted:  get ; correct:  help ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  get ; correct:  help ]
b'Como cadastro?'  [predicted:  get ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  get ; correct:  help ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'Vai tomar no cu'  [predicted:  get ; correct:  bad ]
b'De que vc precisa?'  [predicted:  get ; correct:  help ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  add ; correct:  help ]
b'Listar comandos'  [predicted:  get ; correct:  help ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  get ; correct:  bye ]
b'deletar'  [predicted:  get ; correct:  delete ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  get ; correct:  bad ]
b'Meus itens'  [predicted:  get ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  get ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  get ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  get ; correct:  help ]
b'descadastrar'  [predicted:  get ; correct:  delete ]
b'Consultar'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  get ; correct:  help ]
TIME:  0.19709491729736328
SCORE:  8 / 30  ( 0.26666666666666666 )
b'C\xc3\xb3digo'  [predicted:  get ; correct:  get ]
b'cad\xc3\xaa'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  get ; correct:  cancel ]
b'rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Registrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  get ; correct:  help ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  get ; correct:  get ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'Registrar'  [predicted:  get ; correct:  add ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Apagar'  [predicted:  get ; correct:  delete ]
b'Consulta'  [predicted:  get ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  get ; correct:  greeting ]
b'Cadastrar uma nova encomenda'  [predicted:  help ; correct:  add ]
b'boa tarde'  [predicted:  get ; correct:  greeting ]
b'Muito obrigada'  [predicted:  get ; correct:  thanks ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  get ; correct:  greeting ]
b'Ajuda'  [predicted:  get ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'adeus'  [predicted:  get ; correct:  bye ]
b'Como voc\xc3\xaa funciona'  [predicted:  get ; correct:  help ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'adicionar objeto'  [predicted:  get ; correct:  add ]
b'Beleza'  [predicted:  get ; correct:  ok ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'Meus objetos'  [predicted:  get ; correct:  get ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  help ; correct:  cancel ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  get ; correct:  help ]
TIME:  0.21308207511901855
SCORE:  11 / 30  ( 0.36666666666666664 )
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  get ; correct:  help ]
b'Gostaria de retirar'  [predicted:  get ; correct:  delete ]
b'Remover'  [predicted:  get ; correct:  delete ]
b'adicionar'  [predicted:  get ; correct:  add ]
b'Retirar'  [predicted:  get ; correct:  delete ]
b'Quero cadastrar uma encomenda'  [predicted:  get ; correct:  add ]
b'Muito obrigado'  [predicted:  get ; correct:  thanks ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'sai'  [predicted:  get ; correct:  cancel ]
b'Novo'  [predicted:  get ; correct:  add ]
b'Como cadastrar um objeto?'  [predicted:  get ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  get ; correct:  help ]
b'Lista'  [predicted:  get ; correct:  get ]
