Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
SCORE:  3079 / 3140  ( 0.9805732484076433 )
Play Halid 08 by video game pianist on Pandora  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when can i see Red Hot Tires  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to play the album Beloved Rogues  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Closer to the Sun album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need some Hardcore Hip Hop  [predicted:  GetWeather ; correct:  PlayMusic ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Mexican Werewolf start at three am  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to listen to the Music of Ghost in the Shell: Stand Alone Complex  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play Pirates of the Caribbean Online  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Cry Baby Lane  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the song Evocation I – The Arcane Dominion  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where to get the movie Fear of a Black Hat  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play me the song Aap To Aise Na The.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play The New Noise Theology E.P.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to see the movie The Ooze  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
rate tune to my natalie macmaster viajes  [predicted:  RateBook ; correct:  AddToPlaylist ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
can you put on Like A Hurricane by Paul Landers  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
most popular song of taco ockerse  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Play me the soundtrack Ready  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
my jazz for loving couples needs more push the button  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Go to Mick Fleetwood on my Vimeo  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Tell me where I can watch Common Law Cabin  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find five points called The Origins of Virtue  [predicted:  SearchCreativeWork ; correct:  RateBook ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Live In L.aJoseph Meyer please  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
where can i watch Key to the City  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Live at Leeds  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Place Raise Your Fist onto year in metal 2016.  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I'd like to see Walk on the Wild Side: The Best of Lou Reed  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I would like this artist on drum & breaks.  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
find Kebab Connection  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Song from Brian Chase in 2004  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play Bliss Torn from Emptiness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me Memoirs of Modern Love: Curious Age  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'd like to play the album Clarke  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Book a restaurant on June the fifth in Cavour.  [predicted:  BookRestaurant ; correct:  GetWeather ]
Starting in one minute, please give me a hourly update as to whether it is foggy in Hallsville, Wallis and Futuna  [predicted:  RateBook ; correct:  GetWeather ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
the next book is worth two  [predicted:  BookRestaurant ; correct:  RateBook ]
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I need to see Cristo in India  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Italy Has Awakened at a Goodrich Quality Theaters  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch In High Places  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd say Life in the Iron Mills was a five  [predicted:  SearchCreativeWork ; correct:  RateBook ]
What is Dear Old Girl Cooper Foundation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
give me something from the fifties  [predicted:  RateBook ; correct:  PlayMusic ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Play me East Side Story  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Wish You Were Dead  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play the Seamus Heaney Collected Poems song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Please anything good by Chieko Ochi  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
SCORE:  3057 / 3140  ( 0.9735668789808917 )
Create a theme station with Jim Creeggan records and collabs  [predicted:  GetWeather ; correct:  PlayMusic ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
rate tune to 90's Baby Makers  [predicted:  RateBook ; correct:  AddToPlaylist ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Place this tune in workout remix  [predicted:  GetWeather ; correct:  AddToPlaylist ]
I want to listen to the song Only the Greatest  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want the movie Perseo Miranda and his Theatre  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Could you locate the work, All the Times I Cried?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
find Time Squared  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
list to the most popular Muireann Nic Amhlaoibh song  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Start up my nostalgic playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Memories Are My Only Witness  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Bring up the book Perfume: The Story of a Murderer  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Can i see the Encounters?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I'd like a new england added to Classical Moments in Movies.  [predicted:  SearchScreeningEvent ; correct:  AddToPlaylist ]
rate tune to my natalie macmaster viajes  [predicted:  RateBook ; correct:  AddToPlaylist ]
Can you get me the Snowman's Land movie?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Start playing something off Spotify  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
I want to watch the movie Godslayer  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Get me Kiss the Crystal Flake  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Start playing my Disney playlist.  [predicted:  SearchScreeningEvent ; correct:  PlayMusic ]
Is The Divine Jetta at Marcus Corporation  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
find Now and Forever  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Can you locate West Coast Wrestling Connection  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Open the playlist from Sergei Chatschatrjan  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
Go to Your Heart Belongs to Me  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to watch the movie X Window Display Manager  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the Discografia de The Pretty Reckless saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play saga The Yellow Rose of Texas  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to see the movie Edinburgh Evening News  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Baldur’s Gate II: Throne of Bhaal saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I need the book titled Lullaby of Broadway  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play The News Virginian song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play The Last Mile album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
What is the book Sell Your Body?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
When is Spyforce playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Escape the Fate discography  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Where to buy book Bright Ambush  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Play Keep Their Heads Ringin’  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play me the saga The Party’s Over  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to eat in Rowan Bay on a nice cloud less day  [predicted:  BookRestaurant ; correct:  GetWeather ]
Plays some akb48 on Youtube  [predicted:  GetWeather ; correct:  PlayMusic ]
I want watch The Sun And The Moon  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Play the soundtrack for Back to the Future  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
get me House of Stairs  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the song Red Lanta  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want new steps to go on the leche con chocolate list  [predicted:  BookRestaurant ; correct:  AddToPlaylist ]
Find Once Upon a Time in the West  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to watch Manthan  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Need to see if there will be fog  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play the song Culture and Psychology  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like hear the song Sit Down and Talk to Me  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Need the book called ANAK  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I want to watch Supernatural: The Unseen Powers of Animals  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Ad Amal Hijazi tune to my Pura Vida  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Give me the current showtimes for Tarass Boulba.  [predicted:  RateBook ; correct:  SearchScreeningEvent ]
I want to watch the movie Maxime  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
I want to read the book The Minotaur  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Go to BioRuby  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
I'd like to hear the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to see Plague Soundscapes  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play 30 Greatest Hits  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I'd like to watch Miss Congeniality  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
play the Graduate Faculty Philosophy Journal album  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Lost Land of the Tiger  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Play The XYY Man soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Start up my Pachangueo Total playlist.  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I want to hear the soundtrack to The Platinum Rule  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
I want to listen to the song First Time for Everything  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where is Winterheart’s Guild  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
Find Secret Command.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
ad i should have known better to this is bb king  [predicted:  GetWeather ; correct:  AddToPlaylist ]
Can I hear the song Visual Audio Sensory Theater?  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find a top fifty zahir howaida concerto from the seventies  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Listen to Dragon Ball: Music Collection  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Fantasy Zone II: The Tears of Opa-Opa  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
will Dick Tracy e il gas misterioso start twenty one hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to play the song In a Reverie  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Where can I get Fight for Anarchy  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
When and where is DistroWatch playing  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
SCORE:  3033 / 3129  ( 0.9693192713326941 )
find The Panic in Needle Park  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Whosoever Shall Offend at Showcase Cinemas  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Terror Within  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch In High Places  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
rate tune to my natalie macmaster viajes  [predicted:  RateBook ; correct:  AddToPlaylist ]
I want to book a restaurant in Neshanic Station Nigeria for 06:18:13 pm  [predicted:  BookRestaurant ; correct:  GetWeather ]
in 17 minutes  will it be foggy in Songimvelo Game Reserve  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Play Remains of the Day  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Do you have something like Impossible Is Nothing by Abderrahmane Abdelli?  [predicted:  GetWeather ; correct:  PlayMusic ]
I want to go see A Troll in Central Park.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to read the book Between a Rock and a Hard Place  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Want to eat somewhere cold in the neighboring Antlers region on aug. 22  [predicted:  BookRestaurant ; correct:  GetWeather ]
Play the Electrochemical and Solid State Letters song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find Quiet Night In  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need a book called Student Demonstration Time  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
put on a Serge Robert track  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
i want to see Return to Yesterday  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show movie schedule of The Big Mouth  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
Song from Brian Chase in 2004  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find Un weekend da bamboccioni  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch Take This Waltz  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to see Michel Strogoff  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Endless Horizons  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
show cloud forcast in 1 hour in IA  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
find Brandy in the Wilderness  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find me showtimes for How I Unleashed World War II.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What time does Johnny Got His Gun play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Find Captain Kronos - Vampire Hunter.  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
What is the showtime for Arsho  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
find Mary Kom starting in one hour  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Another Time  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
in one hour find King of Hearts  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Find Fish Story  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
most popular song of taco ockerse  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
where can i see A Slice of Life  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Where can I see the movie Across the Line: The Exodus of Charlie Wright?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
The Forest should be rated a four  [predicted:  GetWeather ; correct:  RateBook ]
find Blood and Bones  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Put The Silent Enigma album by Yoko Kanno  [predicted:  AddToPlaylist ; correct:  PlayMusic ]
I need a table in Uruguay in 213 days when it's chillier  [predicted:  BookRestaurant ; correct:  GetWeather ]
play Disney Sing It! – High School Musical 3: Senior Year  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Party All Night  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where can I watch Hank Williams: The Show He Never Gave?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Book a restaurant 1 hour from now in Dorchester Shores Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Tell me where I can watch Common Law Cabin  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I'd like to hear Cry Baby Cry by Ally Kerr.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
find The Colour of the Chameleon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find The Branded Woman  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
i want to watch Mister Cool  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
find Andreas Hofer at elevenses  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to watch All on the Red at 9 o'clock  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I need some Hardcore Hip Hop  [predicted:  BookRestaurant ; correct:  PlayMusic ]
I want to see Sympathy for the Devil  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Can I hear the song American High.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
play the album Journeyman  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Is it cloudy in the same area of Lynn Shore Reservation  [predicted:  BookRestaurant ; correct:  GetWeather ]
Get me information on The Riverfront Times  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What are the timings for Starship Troopers 2?  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
play Tales from the Organ Trade  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Find time for The Thirty Nine Steps  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Play Keep Your Right Up song  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
when can i see Red Hot Tires  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
Need to see if there will be fog  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
See if Netflix has the Lightspeed Champion album boris  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
show fog conditions at 7 am in NH  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Where do i purchase the book, Baby-Sittor?  [predicted:  BookRestaurant ; correct:  SearchCreativeWork ]
Where does The Return of the Whistler play at the Bow Tie Cinemas at 03:01:48 A.M.  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
want to eat somewhere windy in NM  [predicted:  BookRestaurant ; correct:  GetWeather ]
Where can I see Travelling Light?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
Does The Yacoubian Building start at 08:39 pm  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
When can I see Ghost World  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Mexican Werewolf start at three am  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Can I get the showings for Mysterious Crossing?  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
book me a restaurant in Aransas Pass in seventeen hours  [predicted:  BookRestaurant ; correct:  GetWeather ]
I'd like to watch Monk Comes Down the Mountain  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want to play the game Pesterminator: The Western Exterminator.  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
What is Marty Stuart discography  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
On oct. 26, I will need to make reservations to eat in Halibut Point State Park.  [predicted:  BookRestaurant ; correct:  GetWeather ]
when does Miss Sloane play at IMAX Corporation  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
find Belle of the Yukon  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
When does Of Stars and Men play?  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
Show me when and where I can see Song of Summer  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I'd like to listen to mark rae  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
When is City of Angels playing?  [predicted:  SearchScreeningEvent ; correct:  SearchCreativeWork ]
What is A Romance of the Halifax Disaster  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
play the What I Need to Do soundtrack  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
find a saga with 0 rating called Poems for Midnight  [predicted:  SearchCreativeWork ; correct:  RateBook ]
I need a time of 21 minutes from now for here  [predicted:  SearchScreeningEvent ; correct:  GetWeather ]
play The Widow of Saint-Pierre saga  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
Go to Mick Fleetwood on my Vimeo  [predicted:  BookRestaurant ; correct:  PlayMusic ]
What time does Military history of African Americans play  [predicted:  PlayMusic ; correct:  SearchScreeningEvent ]
I want to go see The Trouble with Girls  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
I want food in Zaleski  [predicted:  BookRestaurant ; correct:  GetWeather ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
does Red e Toby nemiciamici start thirteen hours from now  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
What is Just Like in the Old Country  [predicted:  GetWeather ; correct:  SearchCreativeWork ]
I want to play the game The Carny  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
give me something from the fifties  [predicted:  RateBook ; correct:  PlayMusic ]
SCORE:  3040 / 3140  ( 0.9681528662420382 )
Play Step Up Your Game by Marc Cohn.  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
play If You Go  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
list to the most popular Muireann Nic Amhlaoibh song  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
I'm looking for something by Young Rome from 2001 on Groove Shark  [predicted:  SearchCreativeWork ; correct:  PlayMusic ]
Show me whether Iceland will be colder than it was last april  [predicted:  SearchCreativeWork ; correct:  GetWeather ]
Give me some Musica Post-industriale from Groove Shark  [predicted:  RateBook ; correct:  PlayMusic ]
is The Singing Nun at Regal Entertainment Group  [predicted:  GetWeather ; correct:  SearchScreeningEvent ]
I want to find a nice coffeehouse in South Burlington Illinois  [predicted:  SearchCreativeWork ; correct:  BookRestaurant ]
I want to see Train  [predicted:  SearchCreativeWork ; correct:  SearchScreeningEvent ]
play Myth II: Soulblighter  [predicted:  PlayMusic ; correct:  SearchCreativeWork ]
