b'pacote'  [predicted:  ok ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'J\xc3\xa1 se moveu?'  [predicted:  ok ; correct:  get ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
TIME:  0.03964996337890625
SCORE:  13 / 30  ( 0.43333333333333335 )
b'tchau'  [predicted:  ok ; correct:  bye ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  ok ; correct:  add ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'Como cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
TIME:  0.027734041213989258
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Lista'  [predicted:  ok ; correct:  get ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'boa noite'  [predicted:  greeting ; correct:  greeting ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  get ; correct:  get ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'boa tarde'  [predicted:  greeting ; correct:  greeting ]
b'Quero rastrear uma encomenda'  [predicted:  get ; correct:  get ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'Quero fazer um rastreamento'  [predicted:  get ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  greeting ; correct:  greeting ]
TIME:  0.03043985366821289
SCORE:  12 / 30  ( 0.4 )
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  add ; correct:  help ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'adicionar objeto'  [predicted:  add ; correct:  add ]
b'ok'  [predicted:  delete ; correct:  ok ]
b'adeus'  [predicted:  delete ; correct:  bye ]
b'Qual seu nome ?'  [predicted:  delete ; correct:  saymyname ]
b'cancela'  [predicted:  delete ; correct:  cancel ]
b'cancelar'  [predicted:  delete ; correct:  cancel ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Rastrear'  [predicted:  delete ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  delete ; correct:  bad ]
b'Cadastro'  [predicted:  delete ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  delete ; correct:  help ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  delete ; correct:  get ]
b'Gostaria de retirar uma encomenda'  [predicted:  add ; correct:  delete ]
b'Qual o seu nome ?'  [predicted:  delete ; correct:  saymyname ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  delete ; correct:  welcome ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  delete ; correct:  help ]
b'caralho'  [predicted:  delete ; correct:  bad ]
b'Obrigado'  [predicted:  delete ; correct:  thanks ]
b'Obrigada'  [predicted:  delete ; correct:  thanks ]
b'oi'  [predicted:  delete ; correct:  welcome ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  delete ; correct:  welcome ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'adicionar'  [predicted:  delete ; correct:  add ]
b'Gostaria de retirar'  [predicted:  add ; correct:  delete ]
b'Rastrear encomenda'  [predicted:  delete ; correct:  get ]
TIME:  0.033928871154785156
SCORE:  6 / 30  ( 0.2 )
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'Tudo bem'  [predicted:  ok ; correct:  ok ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  add ; correct:  help ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  help ; correct:  get ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.031076908111572266
SCORE:  9 / 30  ( 0.3 )
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  ok ; correct:  add ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'onde eu insiro o c\xc3\xb3digo de rastreio?'  [predicted:  help ; correct:  help ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Onde esta a minha encomenda'  [predicted:  get ; correct:  get ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  get ; correct:  get ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
TIME:  0.03404808044433594
SCORE:  8 / 30  ( 0.26666666666666666 )
b'adeus'  [predicted:  welcome ; correct:  bye ]
b'Como cadastro?'  [predicted:  welcome ; correct:  help ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  add ; correct:  get ]
b'sai'  [predicted:  welcome ; correct:  cancel ]
b'At\xc3\xa9 logo'  [predicted:  bye ; correct:  bye ]
b'Remover'  [predicted:  welcome ; correct:  delete ]
b'adicionar objeto'  [predicted:  welcome ; correct:  add ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'adicionar um novo pacote'  [predicted:  add ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Retirar'  [predicted:  welcome ; correct:  delete ]
b'Cadastro'  [predicted:  welcome ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  welcome ; correct:  add ]
b'Ol\xc3\xa1'  [predicted:  welcome ; correct:  welcome ]
b'Quero rastrear uma encomenda'  [predicted:  delete ; correct:  get ]
b'De que vc precisa?'  [predicted:  welcome ; correct:  help ]
b'Consulta'  [predicted:  welcome ; correct:  get ]
b'Registrar'  [predicted:  welcome ; correct:  add ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  welcome ; correct:  help ]
b'adicionar'  [predicted:  welcome ; correct:  add ]
b'At\xc3\xa9 mais'  [predicted:  bye ; correct:  bye ]
b'Cadastrar encomenda'  [predicted:  welcome ; correct:  add ]
b'Consultar'  [predicted:  welcome ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  welcome ; correct:  welcome ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'ok'  [predicted:  welcome ; correct:  ok ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
TIME:  0.06841087341308594
SCORE:  8 / 30  ( 0.26666666666666666 )
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Consultar'  [predicted:  ok ; correct:  get ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'De que vc precisa?'  [predicted:  ok ; correct:  help ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'bom dia'  [predicted:  greeting ; correct:  greeting ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
TIME:  0.03170180320739746
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Lista'  [predicted:  ok ; correct:  get ]
b'Como cadastro uma encomenda?'  [predicted:  delete ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
b'Como cadastro?'  [predicted:  ok ; correct:  help ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  get ; correct:  help ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Minhas encomendas'  [predicted:  get ; correct:  get ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'Legal! Mas onde est\xc3\xa1 minha encomenda?'  [predicted:  get ; correct:  get ]
b'Listar'  [predicted:  ok ; correct:  get ]
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  saymyname ; correct:  saymyname ]
TIME:  0.029010772705078125
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Cadastro'  [predicted:  cancel ; correct:  add ]
b'Apagar'  [predicted:  cancel ; correct:  delete ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  help ; correct:  help ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  cancel ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  cancel ; correct:  add ]
b'Gostaria de retirar'  [predicted:  delete ; correct:  delete ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Retirar'  [predicted:  cancel ; correct:  delete ]
b'Remover'  [predicted:  cancel ; correct:  delete ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  cancel ; correct:  get ]
b'Chega q dia?'  [predicted:  cancel ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  ok ; correct:  bye ]
b'Ajuda'  [predicted:  cancel ; correct:  help ]
b'Muito obrigado'  [predicted:  cancel ; correct:  thanks ]
b'Gostaria de retirar uma encomenda'  [predicted:  delete ; correct:  delete ]
b'Vai tomar no cu'  [predicted:  cancel ; correct:  bad ]
b'Beleza'  [predicted:  cancel ; correct:  ok ]
b'N\xc3\xa3o possuo encomenda em tr\xc3\xa2nsito'  [predicted:  cancel ; correct:  cancel ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'tenha um bom dia'  [predicted:  greeting ; correct:  greeting ]
b'tchau'  [predicted:  cancel ; correct:  bye ]
b'sai'  [predicted:  cancel ; correct:  cancel ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'sair'  [predicted:  cancel ; correct:  cancel ]
b'C\xc3\xb3digo'  [predicted:  cancel ; correct:  get ]
b'N\xc3\xa3o'  [predicted:  cancel ; correct:  cancel ]
TIME:  0.02887105941772461
SCORE:  15 / 30  ( 0.5 )
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  help ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'Chega q dia?'  [predicted:  get ; correct:  get ]
b'tenha um bom dia'  [predicted:  ok ; correct:  greeting ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  help ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Obrigada'  [predicted:  ok ; correct:  thanks ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'C\xc3\xb3digo'  [predicted:  ok ; correct:  get ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Obrigado'  [predicted:  ok ; correct:  thanks ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
b'Checar minhas encomendas'  [predicted:  get ; correct:  get ]
b'oi'  [predicted:  ok ; correct:  welcome ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  help ; correct:  help ]
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'Quando ao certo chega minha encomenda?'  [predicted:  get ; correct:  get ]
TIME:  0.03181314468383789
SCORE:  12 / 30  ( 0.4 )
b'Me ajuda'  [predicted:  ok ; correct:  help ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'descadastrar'  [predicted:  ok ; correct:  delete ]
b'Como funciona'  [predicted:  ok ; correct:  help ]
b'como pode me ajudar'  [predicted:  ok ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'Listar comandos'  [predicted:  ok ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  help ; correct:  help ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'deletar'  [predicted:  ok ; correct:  delete ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  ok ; correct:  help ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Meus itens'  [predicted:  ok ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  get ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Visualizar rastreamento'  [predicted:  get ; correct:  get ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
TIME:  0.03272223472595215
SCORE:  13 / 30  ( 0.43333333333333335 )
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  help ; correct:  help ]
b'Quero cadastrar'  [predicted:  add ; correct:  add ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  add ; correct:  add ]
b'Todas'  [predicted:  ok ; correct:  get ]
b'Todos'  [predicted:  ok ; correct:  get ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'Como cadastrar um objeto?'  [predicted:  add ; correct:  help ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'tenha um bom dia'  [predicted:  ok ; correct:  greeting ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Como funciona'  [predicted:  help ; correct:  help ]
b'tchau'  [predicted:  ok ; correct:  bye ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'Tudo bem'  [predicted:  bye ; correct:  ok ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'gostaria de procurar um objeto'  [predicted:  add ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  ok ; correct:  saymyname ]
b'Gostaria de registrar'  [predicted:  delete ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
TIME:  0.03195476531982422
SCORE:  9 / 30  ( 0.3 )
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'At\xc3\xa9 logo'  [predicted:  ok ; correct:  bye ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'como sou notificado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Onde est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  add ; correct:  help ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  get ; correct:  help ]
b'Entrega'  [predicted:  ok ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  ok ; correct:  bye ]
