b'Como cadastro uma encomenda?'  [predicted:  ok ; correct:  help ]
b'Como cadastra?'  [predicted:  thanks ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'At\xc3\xa9 logo'  [predicted:  thanks ; correct:  bye ]
TIME:  0.027789831161499023
SCORE:  3 / 30  ( 0.1 )
b'C\xc3\xb3digo'  [predicted:  thanks ; correct:  get ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'consultar minha encomenda'  [predicted:  thanks ; correct:  get ]
b'o que eu devo fazer?'  [predicted:  help ; correct:  help ]
b'descadastrar'  [predicted:  thanks ; correct:  delete ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'Burro'  [predicted:  thanks ; correct:  bad ]
b'Novo'  [predicted:  thanks ; correct:  add ]
b'Minhas encomendas'  [predicted:  thanks ; correct:  get ]
b'Muito obrigada'  [predicted:  thanks ; correct:  thanks ]
b'Como cadastrar um objeto?'  [predicted:  thanks ; correct:  help ]
b'De que vc precisa?'  [predicted:  thanks ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  thanks ; correct:  help ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  thanks ; correct:  help ]
b'Consultar'  [predicted:  thanks ; correct:  get ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  thanks ; correct:  help ]
b'Retirar'  [predicted:  thanks ; correct:  delete ]
b'Checar minhas encomendas'  [predicted:  thanks ; correct:  get ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Chega q dia?'  [predicted:  thanks ; correct:  get ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Novo pacote'  [predicted:  thanks ; correct:  add ]
b'bom dia'  [predicted:  thanks ; correct:  greeting ]
b'deletar'  [predicted:  thanks ; correct:  delete ]
b'Meus objetos'  [predicted:  thanks ; correct:  get ]
b'Cadastrar'  [predicted:  thanks ; correct:  add ]
TIME:  0.02678823471069336
SCORE:  5 / 30  ( 0.16666666666666666 )
b'Cadastrar encomenda'  [predicted:  thanks ; correct:  add ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  thanks ; correct:  greeting ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'descadastrar'  [predicted:  thanks ; correct:  delete ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  help ; correct:  help ]
b'Me ajuda'  [predicted:  thanks ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  thanks ; correct:  delete ]
b'deletar'  [predicted:  thanks ; correct:  delete ]
b'Gostaria de retirar'  [predicted:  thanks ; correct:  delete ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'Como eu fa\xc3\xa7o?'  [predicted:  thanks ; correct:  help ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'gostaria de procurar um objeto'  [predicted:  thanks ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  thanks ; correct:  help ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  thanks ; correct:  help ]
b'Listar comandos'  [predicted:  thanks ; correct:  help ]
b'boa noite'  [predicted:  thanks ; correct:  greeting ]
b'Gostaria de registrar'  [predicted:  thanks ; correct:  add ]
b'Ajuda'  [predicted:  thanks ; correct:  help ]
b'J\xc3\xa1 se moveu?'  [predicted:  thanks ; correct:  get ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Retirar'  [predicted:  thanks ; correct:  delete ]
b'J\xc3\xa1 cadastrou?'  [predicted:  thanks ; correct:  get ]
b'Cadastro'  [predicted:  thanks ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  thanks ; correct:  help ]
b'boa tarde'  [predicted:  thanks ; correct:  greeting ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
TIME:  0.023398876190185547
SCORE:  3 / 30  ( 0.1 )
b'J\xc3\xa1 se moveu?'  [predicted:  ok ; correct:  get ]
b'Novo pacote'  [predicted:  ok ; correct:  add ]
b'parar'  [predicted:  ok ; correct:  cancel ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'para'  [predicted:  ok ; correct:  cancel ]
b'Quando ao certo chega minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  ok ; correct:  bad ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  ok ; correct:  help ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'Burro'  [predicted:  ok ; correct:  bad ]
b'o que eu devo fazer?'  [predicted:  ok ; correct:  help ]
b'J\xc3\xa1 cadastrou?'  [predicted:  ok ; correct:  get ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'caralho'  [predicted:  ok ; correct:  bad ]
TIME:  0.02402782440185547
SCORE:  2 / 30  ( 0.06666666666666667 )
b'Quero fazer um rastreamento'  [predicted:  ok ; correct:  get ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  add ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'De que vc precisa?'  [predicted:  ok ; correct:  help ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'consultar minha encomenda'  [predicted:  ok ; correct:  get ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'Novo pacote'  [predicted:  ok ; correct:  add ]
b'o que eu devo fazer?'  [predicted:  ok ; correct:  help ]
b'Novo'  [predicted:  ok ; correct:  add ]
b'Gostaria de fazer um rastreamento'  [predicted:  ok ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Consultar'  [predicted:  ok ; correct:  get ]
TIME:  0.02710413932800293
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Todas'  [predicted:  thanks ; correct:  get ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Todos'  [predicted:  thanks ; correct:  get ]
b'Remover'  [predicted:  thanks ; correct:  delete ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'Gostaria de uma informa\xc3\xa7\xc3\xa3o'  [predicted:  thanks ; correct:  help ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Como fa\xc3\xa7o pra cadastrar alguma encomenda?'  [predicted:  help ; correct:  help ]
b'o que eu devo fazer?'  [predicted:  thanks ; correct:  help ]
b'Retirar'  [predicted:  thanks ; correct:  delete ]
b'Novo'  [predicted:  thanks ; correct:  add ]
b'sai'  [predicted:  thanks ; correct:  cancel ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  thanks ; correct:  help ]
b'Gostaria de retirar uma encomenda'  [predicted:  thanks ; correct:  delete ]
b'como pode me ajudar'  [predicted:  help ; correct:  help ]
b'Tudo bem'  [predicted:  thanks ; correct:  ok ]
b'Gostaria de retirar'  [predicted:  thanks ; correct:  delete ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  thanks ; correct:  help ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Como funciona'  [predicted:  thanks ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  thanks ; correct:  bad ]
b'Quero cadastrar'  [predicted:  thanks ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  get ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Novo pacote'  [predicted:  thanks ; correct:  add ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  thanks ; correct:  saymyname ]
TIME:  0.025130033493041992
SCORE:  8 / 30  ( 0.26666666666666666 )
b'J\xc3\xa1 se moveu?'  [predicted:  get ; correct:  get ]
b'Gostaria de fazer um rastreamento'  [predicted:  add ; correct:  add ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Informa\xc3\xa7\xc3\xa3o'  [predicted:  thanks ; correct:  help ]
b'bom dia'  [predicted:  thanks ; correct:  greeting ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  thanks ; correct:  bad ]
b'\xc3\x93timo!'  [predicted:  thanks ; correct:  ok ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  thanks ; correct:  help ]
b'ok'  [predicted:  thanks ; correct:  ok ]
b'De que vc precisa?'  [predicted:  thanks ; correct:  help ]
b'Consultar'  [predicted:  thanks ; correct:  get ]
b'Consulta'  [predicted:  thanks ; correct:  get ]
b'consultar minha encomenda'  [predicted:  thanks ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  thanks ; correct:  get ]
b'J\xc3\xa1 cadastrou?'  [predicted:  thanks ; correct:  get ]
b'Como voc\xc3\xaa funciona'  [predicted:  thanks ; correct:  help ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  thanks ; correct:  welcome ]
b'parar'  [predicted:  thanks ; correct:  cancel ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Burro'  [predicted:  thanks ; correct:  bad ]
b'para'  [predicted:  thanks ; correct:  cancel ]
b'Gostaria de fazer um cadastro'  [predicted:  add ; correct:  add ]
b'pacote'  [predicted:  thanks ; correct:  add ]
b'deletar'  [predicted:  thanks ; correct:  delete ]
b'descadastrar'  [predicted:  thanks ; correct:  delete ]
b'Cadastrar'  [predicted:  thanks ; correct:  add ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  thanks ; correct:  help ]
b'Ol\xc3\xa1'  [predicted:  thanks ; correct:  welcome ]
TIME:  0.025667905807495117
SCORE:  7 / 30  ( 0.23333333333333334 )
b'tchau'  [predicted:  ok ; correct:  bye ]
b'como voce me atualiza sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Como voc\xc3\xaa funciona'  [predicted:  ok ; correct:  help ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  ok ; correct:  help ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'sair'  [predicted:  ok ; correct:  cancel ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'boa noite'  [predicted:  ok ; correct:  greeting ]
b'boa tarde'  [predicted:  ok ; correct:  greeting ]
b'Quero cadastrar'  [predicted:  ok ; correct:  add ]
b'Eu quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'Onde est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Queria saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Consulta'  [predicted:  ok ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'Encomenda'  [predicted:  ok ; correct:  get ]
b'quem \xc3\xa9 voc\xc3\xaa?'  [predicted:  ok ; correct:  saymyname ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'tenha um bom dia'  [predicted:  ok ; correct:  greeting ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  ok ; correct:  greeting ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Entrega'  [predicted:  ok ; correct:  get ]
TIME:  0.023893117904663086
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Voc\xc3\xaa n\xc3\xa3o \xc3\xa9 um rob\xc3\xb4, voc\xc3\xaa \xc3\xa9 uma bichona'  [predicted:  ok ; correct:  bad ]
b'Vai tomar no cu'  [predicted:  bad ; correct:  bad ]
b'Como?'  [predicted:  ok ; correct:  help ]
b'Como cadastrar um objeto?'  [predicted:  ok ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Voc\xc3\xaa pode rastrear um objeto para mim?'  [predicted:  add ; correct:  get ]
b'Voc\xc3\xaa pode me explicar como cadastrar?'  [predicted:  ok ; correct:  help ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'Como cadastrar um c\xc3\xb3digo'  [predicted:  add ; correct:  help ]
b'ok'  [predicted:  ok ; correct:  ok ]
b'Quando ao certo chega minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  ok ; correct:  get ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'favor cadastrar o codigo de rastreio'  [predicted:  add ; correct:  add ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  ok ; correct:  welcome ]
b'Ol\xc3\xa1'  [predicted:  ok ; correct:  welcome ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'Tudo bem, tchau'  [predicted:  bye ; correct:  bye ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  ok ; correct:  help ]
b'Qual seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Como cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Qual o seu nome ?'  [predicted:  ok ; correct:  saymyname ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  ok ; correct:  help ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  ok ; correct:  get ]
b'Como cadastra?'  [predicted:  ok ; correct:  help ]
b'Como cadastra a encomenda'  [predicted:  ok ; correct:  help ]
TIME:  0.027786970138549805
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Apagar'  [predicted:  ok ; correct:  delete ]
b'Cadastro de c\xc3\xb3digo'  [predicted:  ok ; correct:  add ]
b'Gostaria de fazer um cadastro'  [predicted:  ok ; correct:  add ]
b'\xc3\x93timo!'  [predicted:  ok ; correct:  ok ]
b'O que voc\xc3\xaa sabe fazer ?'  [predicted:  help ; correct:  help ]
b'Cadastro'  [predicted:  ok ; correct:  add ]
b'gostaria de procurar um objeto'  [predicted:  ok ; correct:  get ]
b'adeus'  [predicted:  ok ; correct:  bye ]
b'Muito obrigada'  [predicted:  ok ; correct:  thanks ]
b'adicionar'  [predicted:  ok ; correct:  add ]
b'Minhas encomendas'  [predicted:  ok ; correct:  get ]
b'sai'  [predicted:  ok ; correct:  cancel ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Retirar'  [predicted:  ok ; correct:  delete ]
b'Gostaria de rastrear um objeto agora'  [predicted:  add ; correct:  add ]
b'Remover'  [predicted:  ok ; correct:  delete ]
b'Gostaria de fazer um rastreamento'  [predicted:  get ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Ajuda'  [predicted:  ok ; correct:  help ]
b'Beleza'  [predicted:  ok ; correct:  ok ]
b'Onde est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Gostaria de registrar'  [predicted:  ok ; correct:  add ]
b'Ol\xc3\xa1, gostaria de rastrear um objeto'  [predicted:  add ; correct:  get ]
b'pacote'  [predicted:  ok ; correct:  add ]
b'Cadastrar encomenda'  [predicted:  ok ; correct:  add ]
b'Onde aparece esse c\xc3\xb3digo de 13 d\xc3\xadgitos?'  [predicted:  ok ; correct:  help ]
b'adicionar objeto'  [predicted:  ok ; correct:  add ]
b'Meus objetos'  [predicted:  ok ; correct:  get ]
TIME:  0.025578975677490234
SCORE:  7 / 30  ( 0.23333333333333334 )
b'Burro'  [predicted:  ok ; correct:  bad ]
b'rastrear um objeto'  [predicted:  add ; correct:  get ]
b'Quero ver meus produtos'  [predicted:  ok ; correct:  get ]
b'Quero registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero fazer um rastreamento'  [predicted:  add ; correct:  get ]
b'cancelar'  [predicted:  ok ; correct:  cancel ]
b'Rastrear'  [predicted:  ok ; correct:  get ]
b'Como sei onde est\xc3\xa1 a minha encomenda?'  [predicted:  help ; correct:  help ]
b'Registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero rastrear um pacote'  [predicted:  ok ; correct:  get ]
b'Quero saber onde minha encomenda est\xc3\xa1'  [predicted:  ok ; correct:  get ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Quero rastrear uma encomenda'  [predicted:  ok ; correct:  get ]
b'Quero saber onde est\xc3\xa1 minha encomenda'  [predicted:  get ; correct:  get ]
b'Rastrear encomenda'  [predicted:  ok ; correct:  get ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  ok ; correct:  help ]
b'como sou avisado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  help ; correct:  add ]
b'Cadastrar'  [predicted:  ok ; correct:  add ]
b'Registrar'  [predicted:  ok ; correct:  add ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  ok ; correct:  help ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'caralho'  [predicted:  ok ; correct:  bad ]
b'cancela'  [predicted:  ok ; correct:  cancel ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'como sou notificado sobre minha encomenda?'  [predicted:  help ; correct:  help ]
b'bom dia'  [predicted:  ok ; correct:  greeting ]
TIME:  0.025233030319213867
SCORE:  10 / 30  ( 0.3333333333333333 )
b'Burro'  [predicted:  thanks ; correct:  bad ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'cancela'  [predicted:  thanks ; correct:  cancel ]
b'cancelar'  [predicted:  thanks ; correct:  cancel ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'Ajuda'  [predicted:  thanks ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Como eu fa\xc3\xa7o?'  [predicted:  thanks ; correct:  help ]
b'palavr\xc3\xa3o voc\xc3\xaa entende n\xc3\xa9 filho da puta'  [predicted:  thanks ; correct:  bad ]
b'parar'  [predicted:  thanks ; correct:  cancel ]
b'Listar comandos'  [predicted:  thanks ; correct:  help ]
b'Cadastrar uma nova encomenda'  [predicted:  add ; correct:  add ]
b'Cadastrar'  [predicted:  thanks ; correct:  add ]
b'Rastrear encomenda'  [predicted:  thanks ; correct:  get ]
b'sair'  [predicted:  thanks ; correct:  cancel ]
b'para'  [predicted:  thanks ; correct:  cancel ]
b'Quero ver meus produtos'  [predicted:  thanks ; correct:  get ]
b'caralho'  [predicted:  thanks ; correct:  bad ]
b'tenha um bom dia'  [predicted:  thanks ; correct:  greeting ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'Me ajuda'  [predicted:  thanks ; correct:  help ]
b'bom dia'  [predicted:  thanks ; correct:  greeting ]
b'Como fa\xc3\xa7o para cadastrar uma encomenda?'  [predicted:  add ; correct:  help ]
b'Rastrear'  [predicted:  thanks ; correct:  get ]
b'tchau'  [predicted:  thanks ; correct:  bye ]
b'Meus itens'  [predicted:  thanks ; correct:  get ]
b'Como fa\xc3\xa7o para rastrear a encomenda?'  [predicted:  thanks ; correct:  help ]
b'cad\xc3\xaa minha encomenda'  [predicted:  get ; correct:  get ]
b'cad\xc3\xaa'  [predicted:  thanks ; correct:  get ]
TIME:  0.02436089515686035
SCORE:  4 / 30  ( 0.13333333333333333 )
b'Como cadastro uma encomenda?'  [predicted:  thanks ; correct:  help ]
b'Como cadastro minha encomenda?'  [predicted:  thanks ; correct:  help ]
b'Apagar'  [predicted:  thanks ; correct:  delete ]
b'Rastrear encomenda'  [predicted:  thanks ; correct:  get ]
b'Qual seu nome ?'  [predicted:  thanks ; correct:  saymyname ]
b'De que vc precisa?'  [predicted:  thanks ; correct:  help ]
b'consultar minha encomenda'  [predicted:  thanks ; correct:  get ]
b'Rastrear'  [predicted:  thanks ; correct:  get ]
b'ok'  [predicted:  thanks ; correct:  ok ]
b'Ol\xc3\xa1 rob\xc3\xb4'  [predicted:  thanks ; correct:  welcome ]
b'qual a situa\xc3\xa7\xc3\xa3o da minha encomenda?'  [predicted:  thanks ; correct:  get ]
b'Gostaria de registrar'  [predicted:  add ; correct:  add ]
b'deletar'  [predicted:  thanks ; correct:  delete ]
b'adicionar um novo pacote'  [predicted:  thanks ; correct:  add ]
b'descadastrar'  [predicted:  thanks ; correct:  delete ]
b'gostaria de procurar um objeto'  [predicted:  get ; correct:  get ]
b'At\xc3\xa9 logo'  [predicted:  thanks ; correct:  bye ]
b'Quero cadastrar um c\xc3\xb3digo de rastreio'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quero cadastrar uma encomenda, pode ser?'  [predicted:  add ; correct:  add ]
b'Consultar'  [predicted:  thanks ; correct:  get ]
b'At\xc3\xa9 mais'  [predicted:  thanks ; correct:  bye ]
b'Qual o seu nome ?'  [predicted:  thanks ; correct:  saymyname ]
b'Ajuda'  [predicted:  thanks ; correct:  help ]
b'E a\xc3\xad, quais s\xc3\xa3o minhas op\xc3\xa7\xc3\xb5es?'  [predicted:  thanks ; correct:  help ]
b'Beleza'  [predicted:  thanks ; correct:  ok ]
b'Quero ver meus produtos'  [predicted:  thanks ; correct:  get ]
b'Ol\xc3\xa1'  [predicted:  thanks ; correct:  welcome ]
b'Como cadastro?'  [predicted:  thanks ; correct:  help ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
TIME:  0.024804115295410156
SCORE:  6 / 30  ( 0.2 )
b'Checar minhas encomendas'  [predicted:  bye ; correct:  get ]
b'Visualizar rastreamento'  [predicted:  bye ; correct:  get ]
b'Chega q dia?'  [predicted:  bye ; correct:  get ]
b'consultar minha encomenda'  [predicted:  get ; correct:  get ]
b'Ajuda'  [predicted:  bye ; correct:  help ]
b'Minhas encomendas'  [predicted:  bye ; correct:  get ]
b'Gostaria de registrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Gostaria de Rastrear um objeto'  [predicted:  add ; correct:  add ]
b'Posso cadastrar encomendas de outros pa\xc3\xadses?'  [predicted:  bye ; correct:  help ]
b'Apagar'  [predicted:  bye ; correct:  delete ]
b'para'  [predicted:  bye ; correct:  cancel ]
b'Quando ao certo chega minha encomenda?'  [predicted:  bye ; correct:  get ]
b'Muito obrigada'  [predicted:  bye ; correct:  thanks ]
b'parar'  [predicted:  bye ; correct:  cancel ]
b'Boa tarde ent\xc3\xa3o'  [predicted:  greeting ; correct:  greeting ]
b'De que vc precisa?'  [predicted:  help ; correct:  help ]
b'gostaria de cadastrar uma encomenda'  [predicted:  add ; correct:  add ]
b'Quais encomenda voc\xc3\xaa rastreia'  [predicted:  bye ; correct:  help ]
b'Meus objetos'  [predicted:  bye ; correct:  get ]
b'Gostaria de registrar'  [predicted:  bye ; correct:  add ]
b'favor cadastrar o codigo de rastreio'  [predicted:  help ; correct:  add ]
b'C\xc3\xb3digo'  [predicted:  bye ; correct:  get ]
b'Beleza'  [predicted:  bye ; correct:  ok ]
b'boa tarde'  [predicted:  bye ; correct:  greeting ]
b'Vai tomar no cu'  [predicted:  bye ; correct:  bad ]
b'boa noite'  [predicted:  bye ; correct:  greeting ]
